Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft
,City of Jacksonville,797350.0,8146.0,123.0,249.0,3114.0,4660.0,45416.0,11115.0,29484.0,4817.0
,Total area actually reporting,0.995,,139.0,361.0,3480.0,,60532.0,14685.0,39968.0,5879.0
,Estimated total,1.0,,139.0,363.0,3494.0,,60819.0,14748.0,40165.0,5906.0
,"Rate per 100,000 inhabitants",,,10.8,28.1,270.7,,4711.8,1142.6,3111.7,457.6
"Jacksonville, NC M.S.A.",,152338.0,,,,,,,,,
,Includes Onslow County,,,,,,,,,,
,City of Jacksonville,70368.0,278.0,7.0,30.0,65.0,176.0,2297.0,550.0,1614.0,133.0
,Total area actually reporting,1.0,588.0,11.0,65.0,116.0,396.0,5357.0,1624.0,3389.0,344.0
,"Rate per 100,000 inhabitants",,386.0,7.2,42.7,76.1,259.9,3516.5,1066.1,2224.7,225.8
"Janesville, WI M.S.A.",,160629.0,,,,,,,,,
,Includes Rock County,,,,,,,,,,
,City of Janesville,63383.0,158.0,0.0,25.0,55.0,78.0,2731.0,431.0,2217.0,83.0
,Total area actually reporting,1.0,370.0,5.0,47.0,125.0,193.0,5462.0,964.0,4266.0,232.0
,"Rate per 100,000 inhabitants",,230.3,3.1,29.3,77.8,120.2,3400.4,600.1,2655.8,144.4
"Jefferson City, MO M.S.A.2",,145564.0,,,,,,,,,
,"Includes Callaway, Cole, Moniteau,2 and Osage Counties",,,,,,,,,,
,City of Jefferson City,39121.0,286.0,1.0,25.0,30.0,230.0,1484.0,244.0,1186.0,54.0
,Total area actually reporting,1.0,471.0,3.0,41.0,44.0,383.0,3848.0,731.0,2921.0,196.0
,"Rate per 100,000 inhabitants",,323.6,2.1,28.2,30.2,263.1,2643.5,502.2,2006.7,134.6
"Johnson City, TN M.S.A.",,194592.0,,,,,,,,,
,"Includes Carter, Unicoi, and Washington Counties",,,,,,,,,,
,City of Johnson City,60488.0,343.0,1.0,22.0,57.0,263.0,3023.0,566.0,2295.0,162.0
,Total area actually reporting,1.0,814.0,4.0,35.0,77.0,698.0,6034.0,1395.0,4286.0,353.0
,"Rate per 100,000 inhabitants",,418.3,2.1,18.0,39.6,358.7,3100.8,716.9,2202.6,181.4
"Johnstown, PA M.S.A.",,145844.0,,,,,,,,,
,Includes Cambria County,,,,,,,,,,
,City of Johnstown,23609.0,145.0,1.0,3.0,57.0,84.0,864.0,262.0,546.0,56.0
,Total area actually reporting,0.919,289.0,2.0,9.0,77.0,201.0,2792.0,542.0,2084.0,166.0
,Estimated total,1.0,316.0,2.0,11.0,84.0,219.0,3030.0,578.0,2272.0,180.0
,"Rate per 100,000 inhabitants",,216.7,1.4,7.5,57.6,150.2,2077.6,396.3,1557.8,123.4
"Jonesboro, AR M.S.A.",,114222.0,,,,,,,,,
,Includes Craighead and Poinsett Counties,,,,,,,,,,
,City of Jonesboro,61199.0,333.0,5.0,30.0,92.0,206.0,3526.0,1419.0,1993.0,114.0
,Total area actually reporting,1.0,477.0,5.0,46.0,102.0,324.0,5060.0,2021.0,2875.0,164.0
,"Rate per 100,000 inhabitants",,417.6,4.4,40.3,89.3,283.7,4430.0,1769.4,2517.0,143.6
"Joplin, MO M.S.A.",,170012.0,,,,,,,,,
,Includes Jasper and Newton Counties,,,,,,,,,,
,City of Joplin,48261.0,372.0,1.0,38.0,91.0,242.0,4812.0,845.0,3554.0,413.0
,Total area actually reporting,1.0,687.0,8.0,65.0,110.0,504.0,8102.0,1563.0,5897.0,642.0
,"Rate per 100,000 inhabitants",,404.1,4.7,38.2,64.7,296.4,4765.5,919.3,3468.6,377.6
"Kalamazoo-Portage, MI M.S.A.",,318778.0,,,,,,,,,
,Includes Kalamazoo and Van Buren Counties,,,,,,,,,,
,City of Kalamazoo,71462.0,835.0,9.0,81.0,302.0,443.0,4472.0,1039.0,3089.0,344.0
,City of Portage,45287.0,104.0,1.0,20.0,20.0,63.0,2124.0,343.0,1708.0,73.0
,Total area actually reporting,0.989,1477.0,14.0,219.0,398.0,846.0,12213.0,2796.0,8630.0,787.0
,Estimated total,1.0,1487.0,14.0,220.0,400.0,853.0,12318.0,2816.0,8704.0,798.0
,"Rate per 100,000 inhabitants",,466.5,4.4,69.0,125.5,267.6,3864.1,883.4,2730.4,250.3
"Kennewick-Pasco-Richland, WA M.S.A.",,231368.0,,,,,,,,,
,Includes Benton and Franklin Counties,,,,,,,,,,
,City of Kennewick,63147.0,236.0,1.0,38.0,31.0,166.0,2362.0,341.0,1862.0,159.0
,City of Pasco,52761.0,150.0,0.0,29.0,43.0,78.0,1811.0,408.0,1138.0,265.0
,City of Richland,45555.0,105.0,0.0,13.0,23.0,69.0,1249.0,213.0,960.0,76.0
,Total area actually reporting,1.0,574.0,4.0,93.0,101.0,376.0,6619.0,1325.0,4704.0,590.0
,"Rate per 100,000 inhabitants",,248.1,1.7,40.2,43.7,162.5,2860.8,572.7,2033.1,255.0
"Killeen-Temple-Fort Hood, TX M.S.A.",,354141.0,,,,,,,,,
,"Includes Bell, Coryell, and Lampasas Counties",,,,,,,,,,
,City of Killeen,104188.0,815.0,12.0,82.0,202.0,519.0,5680.0,2319.0,3098.0,263.0
,City of Temple,55057.0,203.0,1.0,22.0,76.0,104.0,2973.0,723.0,2107.0,143.0
,Total area actually reporting,0.997,1399.0,19.0,156.0,344.0,880.0,12981.0,4247.0,8155.0,579.0
,Estimated total,1.0,1402.0,19.0,156.0,345.0,882.0,13020.0,4255.0,8183.0,582.0
,"Rate per 100,000 inhabitants",,395.9,5.4,44.1,97.4,249.1,3676.5,1201.5,2310.7,164.3
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",,305118.0,,,,,,,,,
,"Includes Hawkins and Sullivan Counties, TN and Scott and Washington Counties and Bristol City, VA",,,,,,,,,,
,"City of Kingsport, TN",44079.0,335.0,2.0,21.0,57.0,255.0,3064.0,521.0,2395.0,148.0
,"City of Bristol, TN",25346.0,117.0,0.0,16.0,9.0,92.0,1436.0,207.0,1129.0,100.0
,"City of Bristol, VA",17484.0,77.0,0.0,11.0,17.0,49.0,764.0,122.0,604.0,38.0
,Total area actually reporting,1.0,1146.0,8.0,120.0,124.0,894.0,11308.0,2394.0,8185.0,729.0
,"Rate per 100,000 inhabitants",,375.6,2.6,39.3,40.6,293.0,3706.1,784.6,2682.6,238.9
"Kingston, NY M.S.A.",,182932.0,,,,,,,,,
,Includes Ulster County,,,,,,,,,,
,City of Kingston,22741.0,67.0,1.0,5.0,38.0,23.0,699.0,122.0,551.0,26.0
,Total area actually reporting,1.0,456.0,3.0,41.0,66.0,346.0,3003.0,623.0,2251.0,129.0
,"Rate per 100,000 inhabitants",,249.3,1.6,22.4,36.1,189.1,1641.6,340.6,1230.5,70.5
"Knoxville, TN M.S.A.",,682242.0,,,,,,,,,
,"Includes Anderson, Blount, Knox, Loudon, and Union Counties",,,,,,,,,,
,City of Knoxville,183319.0,2058.0,27.0,109.0,681.0,1241.0,12862.0,2507.0,8984.0,1371.0
,Total area actually reporting,1.0,3602.0,38.0,202.0,903.0,2459.0,26674.0,6168.0,18024.0,2482.0
,"Rate per 100,000 inhabitants",,528.0,5.6,29.6,132.4,360.4,3909.8,904.1,2641.9,363.8
"Kokomo, IN M.S.A.",,100734.0,,,,,,,,,
,Includes Howard and Tipton Counties,,,,,,,,,,
,City of Kokomo,45832.0,216.0,1.0,20.0,62.0,133.0,2717.0,450.0,2142.0,125.0
,Total area actually reporting,1.0,277.0,1.0,24.0,68.0,184.0,3532.0,703.0,2679.0,150.0
,"Rate per 100,000 inhabitants",,275.0,1.0,23.8,67.5,182.7,3506.3,697.9,2659.5,148.9
"La Crosse, WI-MN M.S.A.5",,129892.0,,,,,,,,,
,"Includes Houston County, MN5 and La Crosse County, WI",,,,,,,,,,
,"City of La Crosse, WI",50032.0,164.0,1.0,15.0,22.0,126.0,1867.0,305.0,1475.0,87.0
,Total area actually reporting,0.951,,1.0,,29.0,162.0,3039.0,472.0,2436.0,131.0
,Estimated total,1.0,,1.0,,32.0,168.0,3251.0,503.0,2604.0,144.0
,"Rate per 100,000 inhabitants",,,0.8,,24.6,129.3,2502.8,387.2,2004.7,110.9
"Lafayette, IN M.S.A.",,186687.0,,,,,,,,,
,"Includes Benton, Carroll, and Tippecanoe Counties",,,,,,,,,,
,City of Lafayette,61257.0,303.0,0.0,36.0,68.0,199.0,3083.0,610.0,2290.0,183.0
,Total area actually reporting,0.952,443.0,2.0,57.0,79.0,305.0,5219.0,1157.0,3783.0,279.0
,Estimated total,1.0,454.0,2.0,58.0,82.0,312.0,5403.0,1194.0,3915.0,294.0
,"Rate per 100,000 inhabitants",,243.2,1.1,31.1,43.9,167.1,2894.1,639.6,2097.1,157.5
"Lafayette, LA M.S.A.",,255453.0,,,,,,,,,
,Includes Lafayette and St. Martin Parishes,,,,,,,,,,
,City of Lafayette,114212.0,1293.0,15.0,68.0,319.0,891.0,7118.0,1410.0,5152.0,556.0
,Total area actually reporting,0.917,1880.0,22.0,104.0,394.0,1360.0,9823.0,2147.0,6884.0,792.0
,Estimated total,1.0,2029.0,24.0,112.0,416.0,1477.0,10953.0,2357.0,7739.0,857.0
,"Rate per 100,000 inhabitants",,794.3,9.4,43.8,162.8,578.2,4287.7,922.7,3029.5,335.5
"Lake Havasu City-Kingman, AZ M.S.A.",,199339.0,,,,,,,,,
,Includes Mohave County,,,,,,,,,,
,City of Lake Havasu City,58699.0,134.0,5.0,20.0,8.0,101.0,1813.0,307.0,1388.0,118.0
,City of Kingman,28306.0,89.0,1.0,8.0,16.0,64.0,2070.0,415.0,1485.0,170.0
,Total area actually reporting,1.0,563.0,16.0,34.0,78.0,435.0,8997.0,2242.0,5977.0,778.0
,"Rate per 100,000 inhabitants",,282.4,8.0,17.1,39.1,218.2,4513.4,1124.7,2998.4,390.3
"Lakeland-Winter Haven, FL M.S.A.",,568435.0,,,,,,,,,
,Includes Polk County,,,,,,,,,,
,City of Lakeland,91009.0,600.0,6.0,39.0,201.0,354.0,5372.0,1093.0,3956.0,323.0
,City of Winter Haven,31556.0,218.0,2.0,20.0,76.0,120.0,2008.0,507.0,1355.0,146.0
,Total area actually reporting,0.995,3020.0,31.0,190.0,731.0,2068.0,22251.0,6292.0,14337.0,1622.0
,Estimated total,1.0,3038.0,31.0,191.0,737.0,2079.0,22368.0,6318.0,14417.0,1633.0
,"Rate per 100,000 inhabitants",,534.4,5.5,33.6,129.7,365.7,3935.0,1111.5,2536.3,287.3
"Lancaster, PA M.S.A.",,496516.0,,,,,,,,,
,Includes Lancaster County,,,,,,,,,,
,City of Lancaster,54562.0,515.0,5.0,38.0,241.0,231.0,3252.0,556.0,2441.0,255.0
,Total area actually reporting,0.974,978.0,12.0,104.0,385.0,477.0,10377.0,1948.0,7779.0,650.0
,Estimated total,1.0,1007.0,12.0,106.0,393.0,496.0,10636.0,1987.0,7984.0,665.0
,"Rate per 100,000 inhabitants",,202.8,2.4,21.3,79.2,99.9,2142.1,400.2,1608.0,133.9
"Lansing-East Lansing, MI M.S.A.",,452907.0,,,,,,,,,
,"Includes Clinton, Eaton, and Ingham Counties",,,,,,,,,,
,City of Lansing,113643.0,1244.0,16.0,92.0,269.0,867.0,4124.0,1252.0,2517.0,355.0
,City of East Lansing,45979.0,201.0,0.0,22.0,34.0,145.0,978.0,231.0,700.0,47.0
,Total area actually reporting,0.969,1983.0,21.0,247.0,387.0,1328.0,11354.0,2824.0,7853.0,677.0
,Estimated total,1.0,2028.0,21.0,252.0,397.0,1358.0,11774.0,2904.0,8150.0,720.0
,"Rate per 100,000 inhabitants",,447.8,4.6,55.6,87.7,299.8,2599.7,641.2,1799.5,159.0
"Laredo, TX M.S.A.",,237170.0,,,,,,,,,
,Includes Webb County,,,,,,,,,,
,City of Laredo,221253.0,1281.0,10.0,81.0,325.0,865.0,13949.0,1878.0,10534.0,1537.0
,Total area actually reporting,1.0,1342.0,13.0,82.0,340.0,907.0,14399.0,2015.0,10800.0,1584.0
,"Rate per 100,000 inhabitants",,565.8,5.5,34.6,143.4,382.4,6071.2,849.6,4553.7,667.9
"Las Cruces, NM M.S.A.2",,196085.0,,,,,,,,,
,Includes Dona Ana County,,,,,,,,,,
,City of Las Cruces2,87958.0,437.0,6.0,40.0,96.0,295.0,4278.0,860.0,3158.0,260.0
,Total area actually reporting,0.989,860.0,10.0,96.0,125.0,629.0,5802.0,1346.0,4027.0,429.0
,Estimated total,1.0,873.0,10.0,97.0,126.0,640.0,5868.0,1363.0,4068.0,437.0
,"Rate per 100,000 inhabitants",,445.2,5.1,49.5,64.3,326.4,2992.6,695.1,2074.6,222.9
"Las Vegas-Paradise, NV M.S.A.",,1834533.0,,,,,,,,,
,Includes Clark County,,,,,,,,,,
,City of Las Vegas Metropolitan Police Department,1341156.0,13641.0,119.0,723.0,5251.0,7548.0,58897.0,15296.0,27156.0,16445.0
,Total area actually reporting,1.0,16272.0,157.0,849.0,6185.0,9081.0,75766.0,19784.0,35846.0,20136.0
,"Rate per 100,000 inhabitants",,887.0,8.6,46.3,337.1,495.0,4130.0,1078.4,1954.0,1097.6
"Lawrence, KS M.S.A.",,114212.0,,,,,,,,,
,Includes Douglas County,,,,,,,,,,
,City of Lawrence,90044.0,409.0,0.0,48.0,63.0,298.0,5030.0,550.0,4283.0,197.0
,Total area actually reporting,1.0,471.0,2.0,59.0,66.0,344.0,5774.0,688.0,4855.0,231.0
,"Rate per 100,000 inhabitants",,412.4,1.8,51.7,57.8,301.2,5055.5,602.4,4250.9,202.3
"Lawton, OK M.S.A.",,109016.0,,,,,,,,,
,Includes Comanche County,,,,,,,,,,
,City of Lawton,86864.0,1075.0,9.0,75.0,184.0,807.0,4638.0,1555.0,2813.0,270.0
,Total area actually reporting,1.0,1092.0,10.0,80.0,187.0,815.0,4871.0,1619.0,2960.0,292.0
,"Rate per 100,000 inhabitants",,1001.7,9.2,73.4,171.5,747.6,4468.2,1485.1,2715.2,267.9
"Lebanon, PA M.S.A.",,127496.0,,,,,,,,,
,Includes Lebanon County,,,,,,,,,,
,City of Lebanon,24144.0,112.0,1.0,13.0,44.0,54.0,768.0,124.0,581.0,63.0
,Total area actually reporting,0.964,308.0,1.0,37.0,72.0,198.0,2077.0,310.0,1663.0,104.0
,Estimated total,1.0,319.0,1.0,38.0,75.0,205.0,2169.0,324.0,1736.0,109.0
,"Rate per 100,000 inhabitants",,250.2,0.8,29.8,58.8,160.8,1701.2,254.1,1361.6,85.5
"Lewiston, ID-WA M.S.A.",,59973.0,,,,,,,,,
,"Includes Nez Perce County, ID and Asotin County, WA",,,,,,,,,,
,"City of Lewiston, ID",31356.0,41.0,1.0,12.0,3.0,25.0,1258.0,239.0,959.0,60.0
,Total area actually reporting,1.0,75.0,1.0,13.0,8.0,53.0,1883.0,340.0,1445.0,98.0
,"Rate per 100,000 inhabitants",,125.1,1.7,21.7,13.3,88.4,3139.7,566.9,2409.4,163.4
"Lewiston-Auburn, ME M.S.A.",,107169.0,,,,,,,,,
,Includes Androscoggin County,,,,,,,,,,
,City of Lewiston,35747.0,97.0,2.0,23.0,34.0,38.0,1117.0,260.0,813.0,44.0
,City of Auburn,23150.0,29.0,2.0,6.0,10.0,11.0,817.0,152.0,633.0,32.0
,Total area actually reporting,1.0,155.0,4.0,39.0,46.0,66.0,2623.0,605.0,1908.0,110.0
,"Rate per 100,000 inhabitants",,144.6,3.7,36.4,42.9,61.6,2447.5,564.5,1780.4,102.6
"Lexington-Fayette, KY M.S.A.",,441674.0,,,,,,,,,
,"Includes Bourbon, Clark, Fayette, Jessamine, Scott, and Woodford Counties",,,,,,,,,,
,City of Lexington,272815.0,1790.0,16.0,111.0,550.0,1113.0,9349.0,2114.0,6623.0,612.0
,Total area actually reporting,0.944,2028.0,20.0,151.0,624.0,1233.0,13915.0,3065.0,10009.0,841.0
,Estimated total,1.0,2070.0,20.0,156.0,636.0,1258.0,14344.0,3170.0,10304.0,870.0
,"Rate per 100,000 inhabitants",,468.7,4.5,35.3,144.0,284.8,3247.6,717.7,2332.9,197.0
"Lima, OH M.S.A.",,105114.0,,,,,,,,,
,Includes Allen County,,,,,,,,,,
,City of Lima,37767.0,351.0,1.0,46.0,109.0,195.0,2633.0,773.0,1681.0,179.0
,Total area actually reporting,0.918,410.0,2.0,61.0,128.0,219.0,4097.0,1047.0,2827.0,223.0
,Estimated total,1.0,426.0,2.0,64.0,134.0,226.0,4348.0,1093.0,3018.0,237.0
,"Rate per 100,000 inhabitants",,405.3,1.9,60.9,127.5,215.0,4136.5,1039.8,2871.2,225.5
"Lincoln, NE M.S.A.",,286039.0,,,,,,,,,
,Includes Lancaster and Seward Counties,,,,,,,,,,
,City of Lincoln,243243.0,1325.0,6.0,113.0,173.0,1033.0,11755.0,1904.0,9428.0,423.0
,Total area actually reporting,1.0,1358.0,8.0,116.0,175.0,1059.0,12619.0,2063.0,10098.0,458.0
,"Rate per 100,000 inhabitants",,474.8,2.8,40.6,61.2,370.2,4411.6,721.2,3530.3,160.1
"Little Rock-North Little Rock-Conway, AR M.S.A.",,659776.0,,,,,,,,,
,"Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties",,,,,,,,,,
,City of Little Rock,184594.0,2987.0,51.0,123.0,1022.0,1791.0,16112.0,3932.0,10915.0,1265.0
,City of North Little Rock,58680.0,808.0,18.0,39.0,232.0,519.0,5845.0,1537.0,3799.0,509.0
,City of Conway,57245.0,183.0,1.0,39.0,64.0,79.0,2319.0,465.0,1681.0,173.0
,Total area actually reporting,0.998,5476.0,87.0,318.0,1503.0,3568.0,36461.0,9459.0,24193.0,2809.0
,Estimated total,1.0,5484.0,87.0,319.0,1505.0,3573.0,36520.0,9476.0,24232.0,2812.0
,"Rate per 100,000 inhabitants",,831.2,13.2,48.3,228.1,541.5,5535.2,1436.2,3672.8,426.2
"Logan, UT-ID M.S.A.",,114216.0,,,,,,,,,
,"Includes Franklin County, ID and Cache County, UT",,,,,,,,,,
,"City of Logan, UT",48403.0,27.0,0.0,3.0,3.0,21.0,417.0,60.0,337.0,20.0
,Total area actually reporting,1.0,85.0,0.0,26.0,5.0,54.0,1525.0,287.0,1184.0,54.0
,"Rate per 100,000 inhabitants",,74.4,0.0,22.8,4.4,47.3,1335.2,251.3,1036.6,47.3
"Longview, TX M.S.A.",,204652.0,,,,,,,,,
,"Includes Gregg, Rusk, and Upshur Counties",,,,,,,,,,
,City of Longview,75288.0,723.0,5.0,54.0,185.0,479.0,4971.0,1091.0,3415.0,465.0
,Total area actually reporting,0.994,1237.0,9.0,142.0,245.0,841.0,9840.0,2286.0,6676.0,878.0
,Estimated total,1.0,1240.0,9.0,142.0,246.0,843.0,9882.0,2295.0,6706.0,881.0
,"Rate per 100,000 inhabitants",,605.9,4.4,69.4,120.2,411.9,4828.7,1121.4,3276.8,430.5
"Longview, WA M.S.A.",,100916.0,,,,,,,,,
,Includes Cowlitz County,,,,,,,,,,
,City of Longview,37068.0,134.0,3.0,45.0,39.0,47.0,2341.0,480.0,1662.0,199.0
,Total area actually reporting,1.0,296.0,3.0,82.0,64.0,147.0,4378.0,953.0,3056.0,369.0
,"Rate per 100,000 inhabitants",,293.3,3.0,81.3,63.4,145.7,4338.3,944.3,3028.3,365.7
"Los Angeles-Long Beach-Santa Ana, CA M.S.A.",,12929875.0,,,,,,,,,
,Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine,,,,,,,,,,
,City of Los Angeles,3870487.0,27806.0,395.0,1004.0,13481.0,12926.0,101457.0,19629.0,58304.0,23524.0
,City of Long Beach,473959.0,3426.0,42.0,138.0,1506.0,1740.0,12979.0,2905.0,7214.0,2860.0
,City of Santa Ana,340223.0,1947.0,23.0,65.0,779.0,1080.0,7797.0,1013.0,4684.0,2100.0
,City of Anaheim,335133.0,1423.0,17.0,96.0,581.0,729.0,8798.0,1827.0,5695.0,1276.0
,City of Glendale,200049.0,375.0,2.0,12.0,166.0,195.0,3667.0,611.0,2533.0,523.0
,City of Irvine,201872.0,143.0,4.0,19.0,44.0,76.0,3256.0,637.0,2404.0,215.0
,City of Pomona,155161.0,1235.0,27.0,32.0,485.0,691.0,5211.0,972.0,3085.0,1154.0
,City of Pasadena,145553.0,744.0,11.0,33.0,303.0,397.0,4304.0,825.0,2993.0,486.0
,City of Torrance,142970.0,343.0,2.0,21.0,213.0,107.0,3187.0,476.0,2250.0,461.0
,City of Orange,135818.0,266.0,1.0,8.0,116.0,141.0,3049.0,458.0,2158.0,433.0
,City of Fullerton,133855.0,467.0,5.0,41.0,186.0,235.0,4128.0,883.0,2731.0,514.0
,City of Costa Mesa,109835.0,258.0,0.0,39.0,77.0,142.0,3336.0,509.0,2426.0,401.0
,City of Burbank,104871.0,274.0,3.0,14.0,98.0,159.0,2767.0,487.0,1840.0,440.0
,City of Compton,95990.0,1623.0,37.0,42.0,466.0,1078.0,2805.0,636.0,1034.0,1135.0
,City of Carson,94359.0,684.0,16.0,10.0,220.0,438.0,2605.0,429.0,1593.0,583.0
,City of Santa Monica,88584.0,596.0,2.0,30.0,236.0,328.0,3108.0,682.0,2099.0,327.0
,City of Newport Beach,80377.0,172.0,1.0,4.0,53.0,114.0,2228.0,645.0,1429.0,154.0
,City of Tustin,69945.0,137.0,2.0,17.0,64.0,54.0,1575.0,288.0,1106.0,181.0
,City of Montebello,63071.0,242.0,2.0,11.0,116.0,113.0,1948.0,482.0,912.0,554.0
,City of Monterey Park,62472.0,196.0,2.0,3.0,126.0,65.0,1290.0,273.0,766.0,251.0
,City of Gardena,59951.0,448.0,5.0,8.0,287.0,148.0,1428.0,309.0,703.0,416.0
,City of Paramount,56508.0,483.0,12.0,11.0,198.0,262.0,1936.0,415.0,843.0,678.0
,City of Arcadia,56967.0,156.0,2.0,9.0,71.0,74.0,1704.0,375.0,1183.0,146.0
,City of Fountain Valley,55973.0,111.0,0.0,8.0,40.0,63.0,1443.0,328.0,991.0,124.0
,City of Cerritos,52462.0,138.0,0.0,4.0,78.0,56.0,1880.0,333.0,1242.0,305.0
,Total area actually reporting,1.0,71610.0,941.0,2788.0,30737.0,37144.0,331593.0,67583.0,195342.0,68668.0
,"Rate per 100,000 inhabitants",,553.8,7.3,21.6,237.7,287.3,2564.5,522.7,1510.8,531.1
"Los Angeles-Long Beach-Glendale, CA M.D.",,9929814.0,,,,,,,,,
,Includes Los Angeles County,,,,,,,,,,
,Total area actually reporting,1.0,63397.0,864.0,2285.0,27682.0,32566.0,266122.0,55027.0,151414.0,59681.0
,"Rate per 100,000 inhabitants",,638.5,8.7,23.0,278.8,328.0,2680.0,554.2,1524.8,601.0
"Santa Ana-Anaheim-Irvine, CA M.D.",,3000062.0,,,,,,,,,
,Includes Orange County,,,,,,,,,,
,Total area actually reporting,1.0,8213.0,77.0,503.0,3055.0,4578.0,65471.0,12556.0,43928.0,8987.0
,"Rate per 100,000 inhabitants",,273.8,2.6,16.8,101.8,152.6,2182.3,418.5,1464.2,299.6
"Louisville/Jefferson County, KY-IN M.S.A.",,1233503.0,,,,,,,,,
,"Includes Clark, Floyd, Harrison, and Washington Counties, IN and Bullitt, Henry, Jefferson, Meade, Nelson, Oldham, Shelby, Spencer, and Trimble Counties, KY",,,,,,,,,,
,"City of Louisville Metro, KY",624030.0,4238.0,71.0,194.0,1910.0,2063.0,29543.0,7588.0,18772.0,3183.0
,Total area actually reporting,0.94,5200.0,85.0,280.0,2261.0,2574.0,43488.0,10720.0,28524.0,4244.0
,Estimated total,1.0,5340.0,87.0,291.0,2305.0,2657.0,45424.0,11071.0,29961.0,4392.0
,"Rate per 100,000 inhabitants",,432.9,7.1,23.6,186.9,215.4,3682.5,897.5,2428.9,356.1
"Lubbock, TX M.S.A.",,262990.0,,,,,,,,,
,Includes Crosby and Lubbock Counties,,,,,,,,,,
,City of Lubbock,213988.0,1953.0,15.0,101.0,259.0,1578.0,11684.0,3136.0,7942.0,606.0
,Total area actually reporting,1.0,2092.0,15.0,115.0,267.0,1695.0,13038.0,3627.0,8707.0,704.0
,"Rate per 100,000 inhabitants",,795.5,5.7,43.7,101.5,644.5,4957.6,1379.1,3310.8,267.7
"Lynchburg, VA M.S.A.",,240526.0,,,,,,,,,
,"Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities",,,,,,,,,,
,City of Lynchburg,67932.0,332.0,1.0,23.0,81.0,227.0,2381.0,465.0,1754.0,162.0
,Total area actually reporting,1.0,562.0,6.0,62.0,123.0,371.0,4854.0,857.0,3664.0,333.0
,"Rate per 100,000 inhabitants",,233.7,2.5,25.8,51.1,154.2,2018.1,356.3,1523.3,138.4
"Macon, GA M.S.A.",,230317.0,,,,,,,,,
,"Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties",,,,,,,,,,
,City of Macon,93205.0,732.0,22.0,43.0,302.0,365.0,7997.0,1979.0,5166.0,852.0
,Total area actually reporting,0.994,1029.0,30.0,65.0,376.0,558.0,11907.0,2902.0,7783.0,1222.0
,Estimated total,1.0,1037.0,30.0,65.0,379.0,563.0,11972.0,2914.0,7830.0,1228.0
,"Rate per 100,000 inhabitants",,450.2,13.0,28.2,164.6,244.4,5198.1,1265.2,3399.7,533.2
"Madera, CA M.S.A.",,148765.0,,,,,,,,,
,Includes Madera County,,,,,,,,,,
,City of Madera,56797.0,415.0,2.0,14.0,97.0,302.0,1272.0,460.0,595.0,217.0
,Total area actually reporting,1.0,746.0,5.0,31.0,118.0,592.0,3184.0,1078.0,1600.0,506.0
,"Rate per 100,000 inhabitants",,501.5,3.4,20.8,79.3,397.9,2140.3,724.6,1075.5,340.1
"Madison, WI M.S.A.",,550623.0,,,,,,,,,
,"Includes Columbia, Dane, and Iowa Counties",,,,,,,,,,
,City of Madison,225370.0,834.0,8.0,57.0,359.0,410.0,8224.0,2059.0,5658.0,507.0
,Total area actually reporting,0.996,1304.0,11.0,123.0,444.0,726.0,16146.0,3359.0,11956.0,831.0
,Estimated total,1.0,1307.0,11.0,123.0,445.0,728.0,16209.0,3367.0,12008.0,834.0
,"Rate per 100,000 inhabitants",,237.4,2.0,22.3,80.8,132.2,2943.8,611.5,2180.8,151.5
"Mansfield, OH M.S.A.",,126412.0,,,,,,,,,
,Includes Richland County,,,,,,,,,,
,City of Mansfield,50004.0,163.0,5.0,40.0,63.0,55.0,2886.0,865.0,1945.0,76.0
,Total area actually reporting,1.0,256.0,7.0,66.0,81.0,102.0,5487.0,1526.0,3826.0,135.0
,"Rate per 100,000 inhabitants",,202.5,5.5,52.2,64.1,80.7,4340.6,1207.2,3026.6,106.8
"McAllen-Edinburg-Mission, TX M.S.A.",,720595.0,,,,,,,,,
,Includes Hidalgo County,,,,,,,,,,
,City of McAllen,129455.0,372.0,6.0,27.0,114.0,225.0,7908.0,824.0,6537.0,547.0
,City of Edinburg,69708.0,269.0,1.0,20.0,52.0,196.0,3777.0,683.0,2705.0,389.0
,City of Mission,66216.0,94.0,2.0,8.0,32.0,52.0,2571.0,370.0,1906.0,295.0
,City of Pharr,63666.0,249.0,7.0,23.0,64.0,155.0,3696.0,792.0,2586.0,318.0
,Total area actually reporting,0.998,2454.0,37.0,177.0,520.0,1720.0,32719.0,6711.0,23155.0,2853.0
,Estimated total,1.0,2458.0,37.0,177.0,521.0,1723.0,32772.0,6722.0,23193.0,2857.0
,"Rate per 100,000 inhabitants",,341.1,5.1,24.6,72.3,239.1,4547.9,932.8,3218.6,396.5
"Medford, OR M.S.A.",,199631.0,,,,,,,,,
,Includes Jackson County,,,,,,,,,,
,City of Medford,71969.0,265.0,0.0,30.0,44.0,191.0,3270.0,412.0,2662.0,196.0
