Record - metadata - oai_dc:dc - xsi:schemaLocation	dc:subject	Record - metadata - oai_dc:dc - dc:subject - xsi:type	Record - metadata - oai_dc:dc - dc:subject - ddb:GND-Nr	dc:creator	dc:type	Record - metadata - oai_dc:dc - dc:audience	dc:identifier	dc:rights	dc:title	dc:format	dc:date	dc:language	dc:description	Record - metadata - oai_dc:dc - dc:relation	dc:contributor	dc:publisher	dc:source	Record - header - setSpec	Record - header - datestamp
																		ddc:550	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	nearly-zero-energy building			Dietrich, Udo	inBook	Researchers	978-1-84564-822-0	info:eu-repo/semantics/openAccess	Prognosis Method For The Energy Demand Of Nearly-zero-energy Buildings In Different Climates	application/pdf	2014-01-01	eng	The European Directive 2010/31 claims that from 2020 on, only (nearly-) zero-energy buildings may be built. To reach this, buildings have to be optimised energetically. The remaining energy demand has to be covered by renewable energy sources (PV, geothermal etc.) gained nearby, e.g. on site. Comparable predefined plot and office building sizes are investigated for all main climate zones around the globe. Each case study leads to a different energy demand, even though, the same energy generation systems have been applied being PV for power and geothermal energy for heating and cooling. The analysis investigates first, whether the limiting factor to reach a nearly-zero-energy building is in the PV or the geothermal system. Furthermore, in all case studies, the balance between the usable floor area and the surface area for renewable energy sources (roof surface area for PV, plot size for geothermal) is investigated. From this, the maximum numbers of storeys (which can be heated/ cooled) are given per location. Furthermore, consequences for the urban pattern of nearly-zero-energy buildings (like street width and building heights) are highlighted. The main outcome is a correlation between simulated data for the energy demand and climate data. If the architectural optimization follows the local climatic needs, linear equations appear between the simulated energy demand and the climate data for a scenario of optimised buildings. The equations for annual heating or cooling demand and heating or cooling degree hours are given.	info:eu-repo/semantics/altIdentifier/doi/10.2495/ARC140411		WIT Press	Eco-Architecture IV : Harmonisation between Architecture and Nature	com_hcu_13	2023-01-26T14:58:56Z
	renewable energy systems			Kiehl, Franz	doc-type:bookPart	Students	978-1-84564-823-7											col_hcu_15	
	thermal building simulation			Stoica, Liana			https://repos.hcu-hamburg.de/handle/hcu/824											ddc:333.7	
	different climates																	doc-type:bookPart	
	office building																	open_access	
	building design rules																		
	333.7: Natürliche Ressourcen, Energie und Umwelt																		
	ddc:333.7																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Zero-Energy-Urban-Quarter			Dietrich, Udo	inBook	Researchers	978-1-84564-822-0	info:eu-repo/semantics/openAccess	Zero-Energy-Urban-Quarter: Experiences And Results From A University Teaching Course	application/pdf	2014-01-01	eng	In an architecture master course (MA), students were invited to investigate whether a feasible Zero-Energy-Urban-Quarter can be achieved and under which set of design rules. The requirements of the task were to design living quarters for 6500 inhabitants with a density of 100 inhabitants per hectare. Each group of students had to select a plot of land located in any of the big German cities. Throughout the semester, a sequence of 4 presentations took place, where the topic was investigated and observed. The presentations commenced with the analysis of the urban situation and a first proposal of the building arrangements, main transport axes, primary (private) central facilities, secondary (groups such as housing communities), as well as public areas. After justifying the selection of a representative type building, it had to be further detailed and investigated as a passive house. This dealt with aspects, such as construction, materials, U-values, thermal bridges, air tightness, as well as floor plans and the installation of a mechanical ventilation system. Detailed energy calculations were made using the well-introduced PHPP (Passivhaus-Projektierungs-Paket) tool. After the final optimization of the prototype building, the investigation turned its focus back on aspects of urban planning. The final arrangement of the building, definition of areas for solar technology systems and secondary territories as well as a description of possible alternatives, completed the design process. The results of this investigation concluded that it is possible to design Zero- Energy-Urban-Quarters in Germany, with a maximum density of 100 inhabitants per hectare. Both targets of 15 kWh/m2a for heating, and 45 kWh/m2a for primary energy, can be achieved without difficulty. For the German specification of the 2020 standard, a primary energy of 40 kWh/m2a is recommended without the utilization of solar systems (i.e. collectors for hot water and PV) and 25 kWh/m2a when utilizing solar systems.	info:eu-repo/semantics/altIdentifier/doi/10.2495/ARC140481		WIT Press	Eco-Architecture IV : Harmonisation between Architecture and Nature	com_hcu_13	2023-01-26T14:58:57Z
	moderate climate				doc-type:bookPart	Students	978-1-84564-823-7											col_hcu_15	
	design rules						https://repos.hcu-hamburg.de/handle/hcu/825											ddc:333.7	
	urban density																	doc-type:bookPart	
	teaching methods																	open_access	
	333.7: Natürliche Ressourcen, Energie und Umwelt																		
	710: Landschaftsgestaltung, Raumplanung																		
	ddc:333.7																		
	ddc:710																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	adaptation			Beichler, Simone A.	Article	Researchers	1708-3087	info:eu-repo/semantics/openAccess	The role played by social-ecological resilience as a method of integration in interdisciplinary research	application/pdf	2014-01-01	eng	Today’s multifaceted environmental problems, including climate change, necessitate interdisciplinary research. It is however difficult to combine disciplines to study such complex phenomena. We analyzed the experience we gained in applying a particular method of interdisciplinary integration, the ‘bridging concept.’ We outlined the entire process of developing, utilizing, and adapting social-ecological resilience as a bridging concept in a research project involving seven different disciplines. We focused on the tensions and opportunities arising from interdisciplinary dialogue and the understandings and manifestations of resilience in the disciplines involved. By evaluating the specific cognitive and social functions of resilience as a method of integration, we call for placing greater emphasis on the quality and value of the actual interdisciplinary process, rather than concentrating solely on the output of interdisciplinary work.	info:eu-repo/semantics/altIdentifier/doi/10.5751/ES-06583-190304		Resilience Alliance		com_hcu_13	2023-01-26T14:58:57Z
	bridging concept			Hasibovic, Sanin	doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/826	https://creativecommons.org/licenses/by/4.0/						Ecology and society				col_hcu_15	
	climate change			Davidse, Bart Jan														open_access	
	interdisciplinarity			Deppisch, Sonja														ddc:300	
	resilience																		
	300: Sozialwissenschaften, Soziologie																		
	ddc:300																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	300: Sozialwissenschaften, Soziologie			Breckner, Ingrid	inBook	Researchers	9783839424735	info:eu-repo/semantics/openAccess	Urban Poverty and Gentrification : A Comparative View on Different Areas in Hamburg	application/pdf	2013-01-01	eng		info:eu-repo/semantics/altIdentifier/doi/10.1515/transcript.9783839424735.193		transcript Verlag	Spaces of the Poor : Perspectives of Cultural Sciences on Urban Slum Areas and Their Inhabitants	com_hcu_13	2023-01-26T14:58:56Z
	ddc:300				doc-type:bookPart	Students	https://repos.hcu-hamburg.de/handle/hcu/827	https://creativecommons.org/licenses/by-nc-nd/3.0/de/										col_hcu_15	
																		doc-type:bookPart	
																		open_access	
																		ddc:300	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	zero-energy-building			Dietrich, Udo	inBook	Researchers	978-1-84564-614-1	info:eu-repo/semantics/openAccess	Zero-cooling-energy-buildings In Hot Climates: Experiences And Results From A University Teaching Course	application/pdf	2013-01-01	eng	In an architectural master’s course we examined the chances to reach a Zero (Cooling)-Energy-Building for different (hot) climatic locations, deduced design rules and developed proposals for prototypical buildings. Firstly, the climate of each location was analysed, along with vernacular and best practice buildings. Thus, first design rules were developed taking the respective climate into consideration. Then a typical office with common use was chosen and adapted by defining facades, size and placement of windows, shading systems, ventilation strategies and construction techniques. Afterwards, this office was simulated (TRNSYS) and the resulting indoor temperatures assessed by EN 15251 naturally ventilated (\“Type Alpha”) and air conditioned (\“Type Beta”). It was examined, whether the first rules already lead to a good solution or the optimisation through simulations is the main key. In the three locations (Cape Town, Madrid and San Salvador) the ZCEB standard was achieved, both for Beta and Alpha buildings. In the Alpha buildings active cooling could be completely avoided by passive measures, whereas in Beta buildings cooling energy was needed. But for both building types an energy demand for heating, cooling, artificial light and ventilation is remaining. To reach a zero energy building it has to be covered by renewable energies which were gained from the surface of the building (PV) or its direct surrounding (e.g. geothermal energy). This sets (new) limits to the maximum number of floors and the minimal size of the estate leading to adapted rules for urban planning.	info:eu-repo/semantics/altIdentifier/doi/10.2495/ARC120321		WIT Press	Eco-Architecture IV : Harmonisation between Architecture and Nature	com_hcu_13	2023-01-26T14:58:56Z
	teaching methods			Calderon, Sofia	doc-type:bookPart	Students	978-1-84564-615-8											col_hcu_15	
	adaptive comfort models						https://repos.hcu-hamburg.de/handle/hcu/828											ddc:333.7	
	hot climates																	doc-type:bookPart	
	vernacular architecture																	open_access	
	building simulation																		
	design rules																		
	333.7: Natürliche Ressourcen, Energie und Umwelt																		
	ddc:333.7																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	710: Landschaftsgestaltung, Raumplanung			Bizer, Kilian	Article	Researchers	0034-0111	info:eu-repo/semantics/openAccess	Nachfrageorientiertes Nutzungszyklusmanagement	application/pdf	2007-03-31	ger		info:eu-repo/semantics/altIdentifier/doi/10.1007/BF03183002		oekom verlag		com_hcu_13	2023-01-26T14:58:56Z
	ddc:710			Ewen, Christoph	doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/829	https://creativecommons.org/licenses/by/4.0/						Raumforschung und Raumordnung				col_hcu_15	
				Knieling, Jörg														open_access	
				Othengrafen, Frank														ddc:710	
				Stieß, Immanuel															
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	architectural design				book	Researchers	https://doi.org/10.34712/142.32	info:eu-repo/semantics/openAccess	From Body To Space : An Architectural Relation	application/pdf	2022-12-16	eng	"The project of this book originates in one of the focal points of our architectural pedagogy at HafenCity University in Hamburg. “From Body to Space” is both the title of the last contribution to this book and our first-semester course; in the latter, we introduce students to architectural design. At the same time, the title also expresses a fundamental understanding of architecture that conceives of the body as the first point of reference for our living space. The understanding that manifests is that architecture is first and foremost a sensual discipline, and that we as living beings gain access to the space that surrounds us through our bodies—through perception, experience, and use.
This body-based concept of space originated in German aesthetics at the end of the nineteenth century through writers such as Robert Vischer, Heinrich Wölfflin, and August Schmarsow. Since then, it can be traced up to the present through phenomenology, embodiment theory and enactivism, and most recently neuroaesthetics. Drastic developments over recent years, including digitalization and the climate crisis, have lent new meaning to the sensual experience of space: it has become a locating force in the physical world, a transformative force that renders the basic living conditions and potentials of a place touchable and tangible.
Although there is a rich literature of body-based architectural theory and psychology, however, a body-based understanding of space has never exerted a substantial impact on design practice. This book aims to advance body-based design in the current debate by updating the significance of the body as an access point to the world, as well as presenting and describing exemplary projects and designs—originating both from our research and teaching at HCU, as well as from invited guests."			HafenCity Universität Hamburg		com_hcu_13	2023-01-26T14:55:48Z
	design-driven research				doc-type:book	Students	978-3-947972-52-4		Vom Körper zum Raum									col_hcu_15	
	body-based design						https://repos.hcu-hamburg.de/handle/hcu/830											open_access	
	phenomenology						10.34712/142.32											doc-type:book	
	embodiment																	ddc:720	
	tectonics																		
	720: Architektur																		
	ddc:720																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	extrusion			Doyle Gutierrez, Lucia	Article	Researchers	1097-4628	info:eu-repo/semantics/openAccess	Extrusion foaming behavior of polybutene-1. Toward single-material multifunctional sandwich structures	application/pdf	2022-03-20	eng	Polymeric foams are a key element of many multifunctional sandwich structures. The most commonly used polymeric foam, polyurethane, presents environmental drawbacks, related to poor recyclability and the use of toxic diisocyanates for their manufacturing. The separation of layers in sandwich structures is a further unresolved hurdle toward the recyclability of these elements. There is a need for broadening the spectrum of polymeric foams. In this context, the foamability of polybutene-1 (PB-1) is studied through extrusion foaming experiments. From the application side, foaming PB-1 would allow the manufacturing of district heating pre-insulated pipes out of one single material, bringing circular product design to the energy sector. From the scientific side, there is a knowledge gap in the foaming of polymers in the rubbery state at room temperature, such as PB-1, due to difficulties in the cell stabilization step. This supports the need for research in the foaming of this polymer. In this study, four commercial grades of PB-1 were evaluated, covering different chain structures, molecular weights, and crystallinity degrees. Very different foaming behaviors were found. Dimensionally stable foams were achieved with the two homopolymers tested, demonstrating the foamability of this polymer.	info:eu-repo/semantics/altIdentifier/doi/10.1002/app.51816		Wiley		com_hcu_13	2023-01-26T14:58:57Z
	foams				doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/834	https://creativecommons.org/licenses/by-nc/4.0/						Journal of Applied Polymer Science				col_hcu_15	
	polyolefins																	open_access	
	circular economy																	ddc:624	
	circular product design																		
	624: Ingenieurbau und Umwelttechnik																		
	ddc:624																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Heating systems			Banushi, Gersena	inBook	Researchers	https://repos.hcu-hamburg.de/handle/hcu/836	info:eu-repo/semantics/openAccess	Performance of operating district heating pipelines subjected to thermal aging and fatigue	application/pdf	2022-02-14	eng				HafenCity Universität Hamburg	Technisches Infrastrukturmanagement Einblicke	com_hcu_13	2023-01-26T14:57:28Z
	district heating				doc-type:bookPart	Students												col_hcu_15	
	Performance																	doc-type:bookPart	
	624: Ingenieurbau und Umwelttechnik																	open_access	
	ddc:624																	ddc:624	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Treibhaus			Dollhopf, Stefan	inBook	Researchers	https://repos.hcu-hamburg.de/handle/hcu/837	info:eu-repo/semantics/openAccess	Vergleichende Bilanzierung des Treibhauspotenzials und des Primärenergiebedarfs verschiedener Rohrwerkstoffe bei dem Bau von Abwasserkanälen	application/pdf	2022-02-14	ger	"Das politische Ziel der Klimaneutralität bis 2045 fordert eine sektorübergreifende Reduzierung von Treibhausgasemissionen, parallel dazu müssen unsere Städte und Entwässerungssysteme aus- und umgebaut werden, um neuen Herausforderungen und Randbedingungen gerecht zu werden. Baumaßnahmen gehen stets mit der Emission klimaschädlicher Treibhausgase und einem stofflichen und energetischen Ressourcenverbrauch einher. Es ist daher nötig, geeignete Baustoffe, Baumaterialien und Bautechniken für den Ausbau zu identifizieren, um negative ökologische Auswirkungen möglichst gering zu halten. Dazu wird in der vorliegenden Arbeit der Bau von Abwasserkanälen anhand seiner integralen Bestandteile und aller Lebenszyklusphasen erfasst und bilanziert. Um die ökologischen Auswirkungen zu quantifizieren, wird das Treibhauspotenzial und der Primärenergiebedarf, je laufenden Meter Kanalsystem berechnet und dabei Rohrleitungen, der Erd- und Oberbau sowie Schächte berücksichtigt. Hinsichtlich der untersuchten Umweltwirkungen stellen sich meist biegesteife Rohre aus Beton- oder Stahlbeton oder Steinzeug als beste Lösung heraus. Kunststoffrohre erzielen meist die schlechtesten Ergebnisse,
jedoch variieren die Einsparpotenziale je nach den gewählten Randbedingungen und der untersuchten Wirkungskategorie deutlich."			HafenCity Universität Hamburg	Technisches Infrastrukturmanagement Einblicke	com_hcu_13	2023-01-26T14:57:27Z
	Energiebedarf				doc-type:bookPart	Students												col_hcu_15	
	Abwasserkanal																	doc-type:bookPart	
	Rohr																	open_access	
	624: Ingenieurbau und Umwelttechnik																	ddc:624	
	Treibhausgas																		
	Energiebedarf																		
	Abwasserbeseitigung																		
	Rohr																		
	ddc:624																		
	Treibhausgas	xMetaDiss:GND	4438735-0																
	Energiebedarf	xMetaDiss:GND	4137876-3																
	Abwasserbeseitigung	xMetaDiss:GND	4000306-1																
	Rohr	xMetaDiss:GND	4050395-1																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Wärmeverlust			Madan, Violeta	inBook	Researchers	https://repos.hcu-hamburg.de/handle/hcu/838	info:eu-repo/semantics/openAccess	Wärmeverluste von Kunstoffmantelrohrverbindungen	application/pdf	2022-02-14	ger	Die Berechnung der Wärmeverluste erfolgt in der Fernwärmepraxis nach der DIN EN 13941-1 Anhang D und mit den vom Hersteller angegebenen Kennwerten. Mit diesen Methoden bestimmte Wärmeverluste weichen aufgrund der enthaltenen Annahmen häufig von den im Betrieb gemessenen Wärmeverlusten ab, sodass für eine genaue Bestimmung eine kosten- und zeitaufwändige Modellierung des Systems erforderlich ist. In der Berechnung der Wärmeverluste in der DIN EN 13941-1 werden die Rohrverbindungen, die bei diskontinuierlich hergestellten Systemen etwa alle 6-12 Meter montiert werden müssen, nicht berücksichtigt. In einer Studie an der HCU wurde ein Probekörper mit einer Schrumpfmuffenverbindung auf 120 °C temperiert und die Temperatur an der Mantelrohroberfläche mit einer Wärmebildkamera gemessen, um den Einfluss der Rohrverbindung auf die Wärmeverluste des Systems abschätzen zu können. Für das untersuchte System sind die Wärmeverluste der Rohrleitung rund 15 % höher als die Wärmeverluste der Muffenverbindung. Bei Muffenverbindungen mit Querschnittsaufweitung werden die Wärmeverluste durch die Berechnung nach DIN EN 13941-1 überschätzt, wenn die Schaumeigenschaften der Verbindung denen des geraden Rohres entsprechen. Die Differenz der Wärmeverluste hängt in diesem Fall maßgeblich von dem Durchmesserunterschied zwischen dem Rohr und der Verbindung ab. Aufgrund der abweichenden Randbedingungen bei erdverlegten Fernwärmeleitungen und dem gegenseitigen thermischen Einfluss von Vorlauf und Rücklauf, sind die Ergebnisse nur bedingt auf erdverlegte Systeme übertragbar.			HafenCity Universität Hamburg	Technisches Infrastrukturmanagement Einblicke	com_hcu_13	2023-01-26T14:57:27Z
	Kunststoffmantelrohr			Illguth, Marcus	doc-type:bookPart	Students												col_hcu_15	
	624: Ingenieurbau und Umwelttechnik																	doc-type:bookPart	
	Wärmeverlust																	open_access	
	Kunststoffrohr																	ddc:624	
	ddc:624																		
	Wärmeverlust	xMetaDiss:GND	4188880-7																
	Kunststoffrohr	xMetaDiss:GND	4033703-0																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Nachhaltigkeit			Büschken, Sven	inBook	Researchers	https://repos.hcu-hamburg.de/handle/hcu/839	info:eu-repo/semantics/openAccess	Nachhaltigkeit im Tiefbau : zeitweise fließfähige, selbstverdichtende Verfüllbaustoffe unter Verwendung von Recycling-Material	application/pdf	2022-02-14	ger	"Im konventionellen Tiefbau werden Baugruben und -gräben mit Sand verfüllt und dieser beim Einbau verdichtet. Hierfür wird Sand als Bodenaustauschmaterial bereitgestellt, wenn das Aushubmaterial dem Abfallkreislauf zugeführt und aufbereitet oder entsorgt werden muss. Dieses Vorgehen ist logistisch mit einem hohen Aufwand verbunden und kann sowohl ökologisch, als auch ökonomisch hinterfragt werden. So werden begrenzte Sandressourcen in Anspruch genommen und durch An- und Abtransport des Materials vermeidbare Treibhausgase produziert. Ein möglicher Ansatz, diesem Trend entgegenzuwirken ist die Verwendung von zeitweise fließfähigen, selbstverdichtenden Verfüllbaustoffen (ZFSV) als Alternative zu Sand. An der HafenCity Universität (HCU) läuft aktuell ein Forschungsprojekt zu ZFSV, mit einem speziellen Fokus auf den Einsatz von Recycling-Material.
In diesem Bericht soll der aktuelle Forschungsstand an der HCU auszugsweise vorgestellt und das Potenzial der Ressourcenschonung durch ZFSV angesprochen werden."			HafenCity Universität Hamburg	Technisches Infrastrukturmanagement Einblicke	com_hcu_13	2023-01-26T14:57:28Z
	Tiefbau				doc-type:bookPart	Students												col_hcu_15	
	Recycling																	doc-type:bookPart	
	Baustoff																	open_access	
	624: Ingenieurbau und Umwelttechnik																	ddc:624	
	Nachhaltigkeit																		
	Baustoff																		
	Flüssigboden																		
	Recycling																		
	ddc:624																		
	Nachhaltigkeit	xMetaDiss:GND	4326464-5																
	Baustoff	xMetaDiss:GND	4004945-0																
	Flüssigboden	xMetaDiss:GND	7681034-3																
	Recycling	xMetaDiss:GND	4076573-8																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Material			Ramler, Marcel	inBook	Researchers	https://repos.hcu-hamburg.de/handle/hcu/840	info:eu-repo/semantics/openAccess	Struktur als Parameter zur ganzheitlichen Beschreibung des Materialverhaltens fließfähiger Baustoffe	application/pdf	2022-02-14	ger	Zeitweise fließfähige und selbstverdichtende Verfüllbaustoffe, kurz ZFSV, gewinnen zunehmend an baupraktischer Bedeutung. Durch den Einsatz des Materials, insbesondere im innerstädtischen Leitungsbau, ergeben sich sowohl im noch fließfähigen als auch im verfestigten Zustand zahlreiche, teilweise auch konkurrierende Anforderungen. Die exakte und praktikable Parametrisierung zur eindeutigen Beschreibung des Materials gestaltet sich aufgrund seiner komplexen Struktur vergleichsweise schwierig. In diesem Beitrag soll ein generelles Modell zur Abbildung des Materialverhaltens, unabhängig vom fließfähigen oder verfestigten Zustand, vorgeschlagen werden.			HafenCity Universität Hamburg	Technisches Infrastrukturmanagement Einblicke	com_hcu_13	2023-01-26T14:57:28Z
	Baustoff				doc-type:bookPart	Students												col_hcu_15	
	624: Ingenieurbau und Umwelttechnik																	doc-type:bookPart	
	Baustoff																	open_access	
	Stoffeigenschaft																	ddc:624	
	ddc:624																		
	Baustoff	xMetaDiss:GND	4004945-0																
	Stoffeigenschaft	xMetaDiss:GND	4192147-1																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Druckmessung			Weidlich, Ingo	inBook	Researchers	https://repos.hcu-hamburg.de/handle/hcu/841	info:eu-repo/semantics/openAccess	Erddruckmessung in einer Sandkiste nach EN 489	application/pdf	2022-02-14	mul	Für die Untersuchung des Interaktionsverhaltens zwischen Rohrleitungen und Boden wurden in der Vergangenheit oft Sandkisten verwendet, in denen Rohre in ein Bettungsmaterial eingebaut wurden und in experimentellen Versuchsreihen das bodenmechanische Kontaktverhalten studiert wurde. Es wurde oft davon ausgegangen, dass es sich bei der Verwendung von Rohren mit handelsüblichen Durchmessern um eine Versuchsrandbedingung handelt, in der Maßstabseffekte weitgehend vernachlässigt werden können. Dabei kann eine Sandkiste der Eigenschaft, dass eine Leitung ein Linienbauwerk ist, kaum Rechnung tragen. Der Grund hierfür liegt vorrangig in Spannungsumlagerungen, die sich in Sandkisten aufgrund der begrenzten Abmessungen ausbilden. An der HafenCity Universität wurden Erddruckmessungen in einer Sandkiste für Normversuche nach EN489 vorgenommen. Die Ergebnisse zeigen, dass die Erddrücke von der Position des Messpunktes und den Einbaubedingungen abhängig sind. Die Ursache hierfür wird in der Ausbildung einer Gewölbewirkung vermutet.			HafenCity Universität Hamburg	Technisches Infrastrukturmanagement Einblicke	com_hcu_13	2023-01-26T14:57:28Z
	Sandkiste				doc-type:bookPart	Students			Earth pressure measurement in a sandbox according to EN 489				In the past, sand boxes were often used to investigate the interaction behavior between pipes and soil. Pipes were installed in a bedding material and the soil mechanical contact behavior was studied in experimental test series. It was assumed that the use of pipes with commercial diameters is an experimental boundary condition in which scale effects can be largely neglected. In this context, a sandbox can hardly account for the fact that a pipeline is a line structure. The reason for this lies primarily in stress redistributions, which develop differently in sandboxes than in situ due to the limited dimensions. At HafenCity University, earth pressure measurements were carried out in a sand box for standard tests according to EN489. The results show that the earth pressures are dependent on the position and the installation conditions. The reason for this is assumed to be the formation of an arching effect.					col_hcu_15	
	pressure measurement																	doc-type:bookPart	
	sandbox																	open_access	
	624: Ingenieurbau und Umwelttechnik																	ddc:624	
	Druckmessung																		
	Erddruck																		
	ddc:624																		
	Druckmessung	xMetaDiss:GND	4013113-0																
	Erddruck	xMetaDiss:GND	4152654-5																
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	300: Sozialwissenschaften, Soziologie			Peck, Dominique	inBook	Researchers	9780367258610	info:eu-repo/semantics/openAccess	Unsettling planning practices: From accommodation to dwelling in Hamburg	application/pdf	2022-10-26	eng		info:eu-repo/semantics/altIdentifier/doi/10.4324/9780429290237-6		Routledge	Unsettled Urban Space : Routines, Temporalities and Contestations	com_hcu_13	2023-01-26T14:57:28Z
	ddc:300			Richter, Anna	doc-type:bookPart	Students	9780429290237	https://creativecommons.org/licenses/by/4.0/										col_hcu_15	
				Dell, Christopher			https://repos.hcu-hamburg.de/handle/hcu/842											doc-type:bookPart	
				Kniess, Bernd														open_access	
																		ddc:300	
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	Indoor Localization			Shoushtari, Hossein	inBook	Researchers	https://repos.hcu-hamburg.de/handle/hcu/843	info:eu-repo/semantics/openAccess	L5IN+: From an Analytical Platform to Optimization of Deep Inertial Odometry	application/pdf	2022-01-01	eng	Fifth generation of mobile communications (5G) and Deep Neural Networks (DNN) are two important technologies, which will enable new functions in the field of indoor positioning. This could be seen as the second major development after the innovation of smartphones, as a GNSS/INS alternative for indoor, location based applications. Optimization methods which work as a corrector, and as the uncertainty assessment for real life applications, guided us through the next level of challenges. In this paper, we have opened a novel interpretation of a deep network for inertial odometry which is robust to noisy labelled data that was detected from a 5G network. We also designed and developed analytical platform, which is considered a data collector and cellular positioning simulation. This platform was used to provide the input for the learning and optimization algorithms. The simulation website is implemented and available online under simulation2evaluation.herokuapp.com for researchers to generate ground truth trajectories and simulated cellular measurements with assigned quality and exact error values. We have proposed two approaches: (1) deep inertial odometry based on predicting velocity vector elements or relative positions and (2) Kalman Filtering to use, combine and test the absolute positions with the relative ones from the first approach. We finally provide numerical results of our experiments and a discussion of the effectiveness of our approaches.	12th International Conference on Indoor Positioning and Indoor Navigation - Work-in-Progress Papers (IPIN-WiP 2022), 5-7 September 2022, Beijing, China.		CEUR-WS	IPIN-WiP 2022 : Indoor Positioning and Indoor Navigation - Work-in-Progress Papers 2022	com_hcu_13	2023-01-26T14:55:47Z
	5G Simulation			Kassawat, Firas	doc-type:bookPart	Students		https://creativecommons.org/licenses/by/4.0/										col_hcu_15	
	5G Correction			Harder, Dorian														doc-type:bookPart	
	Deep Neural Networks			Venzke, Korvin														ddc:004	
	Kalman Filter			Müller-Lietzkow, Jörg														open_access	
	Smartphone			Sternberg, Harald															
	004: Informatik																		
	ddc:004																		
http://www.openarchives.org/OAI/2.0/oai_dc/ http://www.openarchives.org/OAI/2.0/oai_dc.xsd	nature-based solutions			Bradley, Sean	Article	Researchers	2071-1050	info:eu-repo/semantics/openAccess	Integrated Collaborative Governance Approaches towards Urban Transformation: Experiences from the CLEVER Cities Project	application/pdf	2022-11-23	eng	Within the framework of CLEVER Cities Horizon 2020, London, Milan, and Hamburg are putting in place nine Urban Living Labs in order to implement Nature-based Solutions that address urban challenges in socially disadvantaged neighborhoods. In this article, the means by which co-creation processes and pathways may lead to innovation in governance structures are considered. Through a comparative case study analysis, this research aims to identify integrated, collaborative governance frameworks that are complex and adaptive, as well as reflect the actual changes in governance in cities. Herein, ULLs are intended not just as a vehicle for place-based urban regeneration but also as a starting point for collaborative governance. In this article, it is considered how co-creation pathways may lead to innovation in current local governance structures and achieve transformational change. This paper analyzes the collaborative governance dynamic models at three points in time in the three cities. It is also considered how co-creation pathways may lead to innovation in current local governance structures and achieve transformational change.	info:eu-repo/semantics/altIdentifier/doi/10.3390/su142315566		MDPI		com_hcu_13	2023-01-26T14:55:47Z
	shared governance			Mahmoud, Israa H.	doc-type:article	Students	https://repos.hcu-hamburg.de/handle/hcu/844	https://creativecommons.org/licenses/by/4.0/						Sustainability				col_hcu_15	
	urban regeneration			Arlati, Alessandro														open_access	
	governance models																	ddc:710	
	urban transformation																		
	710: Landschaftsgestaltung, Raumplanung																		
	ddc:710																		
