Ref. No.,Supplier Name,Payment Date,Invoice NET £,Directorate,Cost Type
Aug626,NEW EARTH SOLUTIONS (KENT) LTD,23-Aug-10,"149,463.21","Environment, Highways & Waste",Private Contractors
Aug627,STEVE PRESTON#ME14 2RT,23-Aug-10,"1,275.00","Environment, Highways & Waste",Sundry Debtors - General
Aug628,TROJAN TREE CARE,23-Aug-10,"8,400.00","Environment, Highways & Waste",Sundry Debtors - General
Aug629,VERDANT GROUP LTD,23-Aug-10,"52,977.98","Environment, Highways & Waste",Private Contractors
Aug630,FACELIFT (GB) LIMITED#NEW,23-Aug-10,522.50,"Environment, Highways & Waste",Sundry Debtors - General
Aug631,FUTURE VIEW LANDSCAPES LTD#NEW,23-Aug-10,"5,681.00","Environment, Highways & Waste",Sundry Debtors - General
Aug632,B PARSONS & SONS#NEW,23-Aug-10,"6,551.72","Environment, Highways & Waste",Private Contractors
Aug633,TUNBRIDGE WELLS BOROUGH COUNCIL,23-Aug-10,"34,257.01","Environment, Highways & Waste",National and Non Domestic Rates and Council Tax
Aug1062,T L ARCHER T/A ADR BUILDING SERVICES#NEW,23-Aug-10,581.62,Adult Services,Capital Grants and Advances
Aug1071,CNCA LTD#COMMUNITY NURSING CARE AGENCY LTD,23-Aug-10,589.64,Adult Services,Private Contractors
Aug1282,KENT TOP TEMPS LTD,23-Aug-10,701.80,Adult Services,Agency Staff
Aug1297,AUDLEY MOTE MANAGEMENT LTD#ME15 8GA,23-Aug-10,716.04,Adult Services,Private Contractors
Aug1365,KENT TOP TEMPS LTD,23-Aug-10,748.25,Adult Services,Agency Staff
Aug1403,KENT COUNTY FACILITIES LTD#NEW,23-Aug-10,776.25,Adult Services,"Repairs, Alterations and Maintenance of Buildings"
Aug1432,OAKDENE REST HOME,23-Aug-10,796.91,Adult Services,Private Contractors
Aug1465,CARE & ROBERTSBRIDGE LTD T/A GLOTTONHAM CARE HOME,23-Aug-10,818.48,Adult Services,Private Contractors
Aug1541,CHAUCER HOMECARE LTD,23-Aug-10,885.23,Adult Services,Private Contractors
Aug1542,KENT TOP TEMPS LTD,23-Aug-10,885.48,Adult Services,Agency Staff
Aug1548,KENT COUNTY CRICKET CLUB LIMITED,23-Aug-10,892.00,Adult Services,External Training
Aug1679,HOME INSTEAD SENIOR CARE#CT10 1NG,23-Aug-10,"1,011.34",Adult Services,Private Contractors
Aug1718,BLUEBIRD CARE CANTERBURY & THANET,23-Aug-10,"1,053.00",Adult Services,Private Contractors
Aug1740,PADDOCK HOUSE,23-Aug-10,"1,083.03",Adult Services,Private Contractors
Aug1778,HIGHFIELDS,23-Aug-10,"1,120.07",Adult Services,Private Contractors
Aug1912,KENT TOP TEMPS LTD,23-Aug-10,"1,232.00",Adult Services,Agency Staff
Aug1940,PARK HOUSE COMMUNITY CARE#CT19 5HN,23-Aug-10,"1,271.00",Adult Services,Private Contractors
Aug1954,BLAIR PARK RESIDENTIAL HOME,23-Aug-10,"1,294.86",Adult Services,Private Contractors
Aug2045,SEVINGTON MILL RES. HOME,23-Aug-10,"1,314.60",Adult Services,Private Contractors
Aug2059,KENT TOP TEMPS LTD,23-Aug-10,"1,316.32",Adult Services,Agency Staff
Aug2097,ST VALERY RESIDENTIAL HOME,23-Aug-10,"1,349.28",Adult Services,Private Contractors
Aug2181,PARK VIEW CARE CENTRE,23-Aug-10,"1,394.46",Adult Services,Private Contractors
Aug2210,WESTHOLME,23-Aug-10,"1,411.48",Adult Services,Private Contractors
Aug2233,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,23-Aug-10,"1,432.40",Adult Services,Private Contractors
Aug2432,THE OLD VICARAGE,23-Aug-10,"1,547.24",Adult Services,Private Contractors
Aug2437,SELF UNLIMITED,23-Aug-10,"1,548.57",Adult Services,Private Contractors
Aug2637,EASTFIELD RES HOME FOR ELDERLY,23-Aug-10,"1,593.71",Adult Services,Private Contractors
Aug2687,KEARSNEY MANOR NURSING HOME,23-Aug-10,"1,625.80",Adult Services,Voluntary Associations
Aug2698,SAXON LODGE RESIDENTIAL HOME LTD,23-Aug-10,"1,639.92",Adult Services,Private Contractors
Aug2711,CHAUCER HOMECARE LTD,23-Aug-10,"1,649.41",Adult Services,Private Contractors
Aug2730,KENT TOP TEMPS LTD,23-Aug-10,"1,672.00",Adult Services,Agency Staff
Aug2740,ST DOMINICS RESIDENTIAL & NURSING HOME LTD,23-Aug-10,"1,679.20",Adult Services,Private Contractors
Aug2986,KEARSNEY MANOR NURSING HOME,23-Aug-10,"1,762.88",Adult Services,Voluntary Associations
Aug2987,KEARSNEY MANOR NURSING HOME,23-Aug-10,"1,762.88",Adult Services,Voluntary Associations
Aug2989,THE ABBEYFIELD KENT SOCIETY,23-Aug-10,"1,763.20",Adult Services,Private Contractors
Aug3039,H F TRUST LIMITED#BS16 7FL,23-Aug-10,"1,801.92",Adult Services,Private Contractors
Aug3269,THE ABBEYFIELD KENT SOCIETY,23-Aug-10,"1,912.00",Adult Services,Private Contractors
Aug3396,KENT TOP TEMPS LTD,23-Aug-10,"2,000.00",Adult Services,Agency Staff
Aug3539,B W MAY & SON LTD#NEW,23-Aug-10,"2,097.29",Adult Services,Furniture and Fittings
Aug3545,H F TRUST LIMITED#BS16 7FL,23-Aug-10,"2,101.84",Adult Services,Private Contractors
Aug3600,THE REGARD PARTNERSHIP,23-Aug-10,"2,144.00",Adult Services,Private Contractors
Aug3619,CHAUCER HOMECARE LTD,23-Aug-10,"2,161.05",Adult Services,Private Contractors
Aug3646,KEARSNEY MANOR NURSING HOME,23-Aug-10,"2,197.68",Adult Services,Private Contractors
Aug3755,THE OLD VICARAGE,23-Aug-10,"2,265.60",Adult Services,Private Contractors
Aug3924,BUPA CARE SERVICES LIMITED,23-Aug-10,"2,317.84",Adult Services,Private Contractors
Aug3925,BUPA CARE SERVICES LIMITED,23-Aug-10,"2,317.84",Adult Services,Private Contractors
Aug4005,KEARSNEY MANOR NURSING HOME,23-Aug-10,"2,361.28",Adult Services,Voluntary Associations
Aug4056,LIFELINE HEALTH LIMITED T/A COMMUNITY LIFELINE,23-Aug-10,"2,423.96",Adult Services,Private Contractors
Aug4075,PARK HOUSE COMMUNITY CARE#CT19 5HN,23-Aug-10,"2,439.52",Adult Services,Private Contractors
Aug4120,THE REGARD PARTNERSHIP,23-Aug-10,"2,540.00",Adult Services,Private Contractors
Aug4160,BUPA CARE SERVICES LIMITED,23-Aug-10,"2,648.96",Adult Services,Private Contractors
Aug4297,PHOENIX CARE HOMES LIMITED,23-Aug-10,"2,920.84",Adult Services,Private Contractors
Aug4398,MILL HOUSE REST HOME,23-Aug-10,"3,078.27",Adult Services,Private Contractors
Aug4419,EASTERN AND COASTAL KENT COMMUNITY SERVICES,23-Aug-10,"3,112.73",Adult Services,District Health Authorities
Aug4476,COOKSDITCH RESIDENTIAL HOME,23-Aug-10,"3,232.59",Adult Services,Private Contractors
Aug4561,ASHFORD NURSING HOME#BRABOURNE CENTRE,23-Aug-10,"3,409.68",Adult Services,Private Contractors
Aug4570,SUTTON VALENCE NRSING & CARE CNTR,23-Aug-10,"3,419.42",Adult Services,Private Contractors
Aug4574,H F TRUST LIMITED#BS16 7FL,23-Aug-10,"3,428.40",Adult Services,Private Contractors
Aug4677,EASTERN AND COASTAL KENT COMMUNITY SERVICES,23-Aug-10,"3,678.00",Adult Services,District Health Authorities
Aug4756,MNP COMPLETE CARE GROUP,23-Aug-10,"3,827.36",Adult Services,Private Contractors
Aug4761,STRODE PARK FDTN DISABLED,23-Aug-10,"3,854.92",Adult Services,Voluntary Associations
Aug4777,EASTERN AND COASTAL KENT COMMUNITY SERVICES,23-Aug-10,"3,896.75",Adult Services,District Health Authorities
Aug4842,OLD FARM HOUSE,23-Aug-10,"4,067.04",Adult Services,Private Contractors
Aug4871,PARK VIEW CARE CENTRE,23-Aug-10,"4,183.38",Adult Services,Private Contractors
Aug4883,H F TRUST LIMITED#BS16 7FL,23-Aug-10,"4,200.64",Adult Services,Private Contractors
Aug4928,EASTFIELD RES HOME FOR ELDERLY,23-Aug-10,"4,318.44",Adult Services,Private Contractors
Aug5088,SAXON LODGE RESIDENTIAL HOME LTD,23-Aug-10,"4,919.76",Adult Services,Private Contractors
Aug5122,PARK VIEW CARE CENTRE,23-Aug-10,"5,097.78",Adult Services,Private Contractors
Aug5451,ST MARGARETS NURSING HOME,23-Aug-10,"6,821.77",Adult Services,Private Contractors
Aug5490,EASTERN AND COASTAL KENT COMMUNITY SERVICES,23-Aug-10,"7,004.00",Adult Services,Private Contractors
Aug5537,THE OLD RECTORY#ASH,23-Aug-10,"7,381.03",Adult Services,Private Contractors
Aug5552,HOUSING 21#HP9 2NA,23-Aug-10,"7,475.30",Adult Services,Private Contractors
Aug5585,RESIDENTIAL COMMUNITY CARE LTD,23-Aug-10,"7,779.90",Adult Services,Private Contractors
Aug5762,LIFEWAYS COMMUNITY CARE LTD#SW18 4DJ,23-Aug-10,"9,119.40",Adult Services,Private Contractors
Aug5763,LIFEWAYS COMMUNITY CARE LTD#SW18 4DJ,23-Aug-10,"9,119.40",Adult Services,Private Contractors
Aug5800,BRETON COURT,23-Aug-10,"9,889.16",Adult Services,Private Contractors
Aug5849,BRETON COURT,23-Aug-10,"10,687.31",Adult Services,Private Contractors
Aug5950,APETITO,23-Aug-10,"12,634.75",Adult Services,Private Contractors
Aug5996,EASTERN AND COASTAL KENT COMMUNITY SERVICES,23-Aug-10,"14,033.83",Adult Services,Private Contractors
Aug6040,KEARSNEY MANOR NURSING HOME,23-Aug-10,"15,502.60",Adult Services,Private Contractors
Aug6078,KEARSNEY MANOR NURSING HOME,23-Aug-10,"16,757.68",Adult Services,Private Contractors
Aug6353,KENT TOP TEMPS LTD,23-Aug-10,530.35,Chief Executives,Agency Staff
Aug6362,EDF ENERGY 1 LTD T/A EDF ENERGY,23-Aug-10,547.90,Chief Executives,Electricity
Aug6509,KENT TOP TEMPS LTD,23-Aug-10,827.60,Chief Executives,Agency Staff
Aug6641,PAUL GERRETT CONSULTANCY LTD,23-Aug-10,"1,100.00",Chief Executives,Consultants
Aug6668,KENT TOP TEMPS LTD,23-Aug-10,"1,183.03",Chief Executives,Agency Staff
Aug6669,KENT TOP TEMPS LTD,23-Aug-10,"1,184.82",Chief Executives,Agency Staff
Aug6708,KENT TOP TEMPS LTD,23-Aug-10,"1,330.58",Chief Executives,Agency Staff
Aug6748,DELL COMPUTER CORPORATION LTD,23-Aug-10,"1,595.03",Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6767,KENT TOP TEMPS LTD,23-Aug-10,"1,750.00",Chief Executives,Agency Staff
Aug6779,KENT TOP TEMPS LTD,23-Aug-10,"1,800.00",Chief Executives,Agency Staff
Aug6821,KENT TOP TEMPS LTD,23-Aug-10,"2,090.00",Chief Executives,Agency Staff
Aug6828,KENT TOP TEMPS LTD,23-Aug-10,"2,147.90",Chief Executives,Agency Staff
Aug6842,KENT TOP TEMPS LTD,23-Aug-10,"2,250.00",Chief Executives,Agency Staff
Aug6843,KENT TOP TEMPS LTD,23-Aug-10,"2,250.00",Chief Executives,Agency Staff
Aug6844,KENT TOP TEMPS LTD,23-Aug-10,"2,250.00",Chief Executives,Agency Staff
Aug6849,KENT TOP TEMPS LTD,23-Aug-10,"2,272.50",Chief Executives,Agency Staff
Aug6867,KENT TOP TEMPS LTD,23-Aug-10,"2,527.50",Chief Executives,Agency Staff
Aug6943,ACTIVMOBS LTD#CT6 6UH,23-Aug-10,"4,863.61",Chief Executives,Consultants
Aug6957,THANET DISTRICT COUNCIL,23-Aug-10,"5,590.00",Chief Executives,Computer and Other IT Expenditure (Hardware)
Aug6981,KENT TOP TEMPS LTD,23-Aug-10,"7,245.00",Chief Executives,Agency Staff
Aug7016,AVOCENT SOFTWARE LTD,23-Aug-10,"11,728.05",Chief Executives,Computer and Other IT Expenditure (Maintenance)
Aug7037,KENT TOP TEMPS LTD,23-Aug-10,"20,790.00",Chief Executives,Agency Staff
Aug7082,KENT COUNTY COUNCIL,23-Aug-10,501.20,"Children, Families & Education",Capital Grants and Advances
Aug7144,KENT COUNTY COUNCIL,23-Aug-10,520.99,"Children, Families & Education",Capital Grants and Advances
Aug7153,KENT COUNTY COUNCIL,23-Aug-10,524.62,"Children, Families & Education",Capital Grants and Advances
Aug7190,KENT COUNTY COUNCIL,23-Aug-10,534.00,"Children, Families & Education",Capital Grants and Advances
Aug7237,E SAUNDERS (MARGATE) LTD#NEW,23-Aug-10,549.71,"Children, Families & Education",Furniture and Fittings
Aug7249,KENT COUNTY COUNCIL,23-Aug-10,554.00,"Children, Families & Education",Capital Grants and Advances
Aug7255,GENETTE FRANKLIN#543919#CT14 9JG,23-Aug-10,558.60,"Children, Families & Education",Grants
Aug7277,KENT COUNTY COUNCIL,23-Aug-10,566.00,"Children, Families & Education",Capital Grants and Advances
Aug7354,GRAVESHAM BOROUGH COUNCIL,23-Aug-10,593.98,"Children, Families & Education",National and Non Domestic Rates and Council Tax
Aug7383,ROGERS ELECTRICAL SERVICES LIMITED#NEW,23-Aug-10,600.00,"Children, Families & Education","Repairs, Alterations and Maintenance of Buildings"
Aug7395,STEPHENIE MICHELLE JOAN JARVIS#543905#TN25 4QF,23-Aug-10,605.15,"Children, Families & Education",Grants
Aug7396,KERSHAW CONTRACTING SERVICES LTD#NEW,23-Aug-10,605.50,"Children, Families & Education",Building Works - Main Contract
Aug7424,KENT COUNTY COUNCIL,23-Aug-10,613.40,"Children, Families & Education",Capital Grants and Advances
Aug7486,AMANDA OTWAY-RUTHVEN#543695,23-Aug-10,638.40,"Children, Families & Education",Grants
Aug7553,UNDERRIVER UNDER FIVES NURSERY#543910,23-Aug-10,665.00,"Children, Families & Education",Grants
Aug7601,OFFHAM KINDERGARTEN#522672,23-Aug-10,682.50,"Children, Families & Education",Grants
Aug7605,DELRON SERVICES LTD#NEW,23-Aug-10,685.26,"Children, Families & Education",Building Works - Main Contract
Aug7607,SUPPLIES TEAM,23-Aug-10,686.11,"Children, Families & Education",Stationery and Office Expenses
Aug7654,KENT COUNTY COUNCIL,23-Aug-10,703.00,"Children, Families & Education",Capital Grants and Advances
Aug7662,CARLEY BROWNE#543754,23-Aug-10,704.90,"Children, Families & Education",Grants
Aug7663,KENT TOP TEMPS LTD,23-Aug-10,705.12,"Children, Families & Education",Agency Staff
Aug7684,CRECHE & KIDS CLUB AT BRANDS BATCH SPA (H H LTD)#543918,23-Aug-10,718.20,"Children, Families & Education",Grants
Aug7730,KERSHAW CONTRACTING SERVICES LTD#NEW,23-Aug-10,740.00,"Children, Families & Education",Building Works - Main Contract
Aug7746,ELEMENT UK LTD,23-Aug-10,744.25,"Children, Families & Education",Contract Cleaning
Aug7893,FAB HOMES,23-Aug-10,750.00,"Children, Families & Education","External - Rent, Room Hire & Service Charges"
Aug7894,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,23-Aug-10,750.00,"Children, Families & Education",External Training
Aug7895,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,23-Aug-10,750.00,"Children, Families & Education",External Training
Aug7896,QUEST TRAINING SOUTH EAST LTD#DA4 9JZ,23-Aug-10,750.00,"Children, Families & Education",External Training
Aug7957,KENT COUNTY COUNCIL,23-Aug-10,767.06,"Children, Families & Education",Capital Grants and Advances
Aug8000,KENT COUNTY COUNCIL,23-Aug-10,790.08,"Children, Families & Education",Capital Grants and Advances
Aug8016,CHIPSTEAD NURSERY - EARLY BIRDS DAY NURSERIES LTD#543733,23-Aug-10,798.00,"Children, Families & Education",Grants
Aug8017,KAREN GIRIN#543788,23-Aug-10,798.00,"Children, Families & Education",Grants
Aug8018,SUSAN GARNER#543675,23-Aug-10,798.00,"Children, Families & Education",Grants
Aug8019,TRACEY CAPELETT#543906#CT5 3DS,23-Aug-10,798.00,"Children, Families & Education",Grants
Aug8092,KENT TOP TEMPS LTD,23-Aug-10,832.14,"Children, Families & Education",Agency Staff
Aug8114,TONBRIDGE & MALLING BOROUGH COUNCIL,23-Aug-10,844.07,"Children, Families & Education",National and Non Domestic Rates and Council Tax
Aug8139,HYTHE BAY CHILDREN'S CENTRE#543357,23-Aug-10,851.18,"Children, Families & Education",Grants
Aug8183,MRS CHRISTINE COOMBS#543866,23-Aug-10,877.80,"Children, Families & Education",Grants
Aug8264,TERRY & CARR LTD#NEW,23-Aug-10,914.00,"Children, Families & Education","Repairs, Alterations and Maintenance of Buildings"
Aug8310,WEST VIEW PLAYGROUP#521014,23-Aug-10,945.75,"Children, Families & Education",Grants
Aug8340,LOUISE CLAIRE TAGGART#543793,23-Aug-10,957.60,"Children, Families & Education",Grants
Aug8344,NEW HOUSE NURSERY SCHOOL#513442,23-Aug-10,960.00,"Children, Families & Education",Operational Staff
Aug8394,KENT COUNTY COUNCIL,23-Aug-10,991.44,"Children, Families & Education",Capital Grants and Advances
Aug8422,KENT TOP TEMPS LTD,23-Aug-10,"1,000.96","Children, Families & Education",Agency Staff
Aug8426,CANTERBURY CITY COUNCIL,23-Aug-10,"1,004.67","Children, Families & Education",National and Non Domestic Rates and Council Tax
Aug8438,WESTBERE PLAYGROUP#520166,23-Aug-10,"1,010.10","Children, Families & Education",Grants
Aug8485,KENT TOP TEMPS LTD,23-Aug-10,"1,037.50","Children, Families & Education",Agency Staff
Aug8503,J MEDS EDUCATION LIMITED,23-Aug-10,"1,050.00","Children, Families & Education",Specialists Fees
Aug8536,CANTERBURY AND DISTRICT EARLY YEARS PROJECT#CT1 1EA,23-Aug-10,"1,062.88","Children, Families & Education",Agency Staff
Aug8539,FRITTENDEN PRE-SCHOOL#520150,23-Aug-10,"1,064.70","Children, Families & Education",Grants
Aug8540,PRESTON PRE-SCHOOL#512848,23-Aug-10,"1,064.70","Children, Families & Education",Grants
Aug8544,KENT TOP TEMPS LTD,23-Aug-10,"1,068.76","Children, Families & Education",Agency Staff
Aug8593,TONI GURR#543677,23-Aug-10,"1,111.60","Children, Families & Education",Grants
Aug8648,KERSHAW CONTRACTING SERVICES LTD#NEW,23-Aug-10,"1,151.00","Children, Families & Education",Building Works - Main Contract
Aug8670,ROLVENDEN PRE-SCHOOL#520964,23-Aug-10,"1,173.90","Children, Families & Education",Grants
Aug8768,DR D I HOLT,23-Aug-10,"1,245.00","Children, Families & Education",Specialists Fees
Aug8849,LEIGH PRE-SCHOOL#519419,23-Aug-10,"1,310.40","Children, Families & Education",Grants
Aug8880,TOY BOX DAY NURSERY-BLUE BELL HILL#543765,23-Aug-10,"1,330.00","Children, Families & Education",Grants
Aug8950,R M BROOKES LIMITED#NEW,23-Aug-10,"1,387.96","Children, Families & Education",Building Works - Main Contract
Aug8952,MAIDSTONE GLASS CO LTD#NEW,23-Aug-10,"1,390.00","Children, Families & Education","Repairs, Alterations and Maintenance of Buildings"
Aug8954,TROTTISCLIFFE PLAYGROUP#543428,23-Aug-10,"1,392.30","Children, Families & Education",Grants
Aug8980,KENT TOP TEMPS LTD,23-Aug-10,"1,410.75","Children, Families & Education",Agency Staff
Aug8981,MARK BEECH NURSERY SCHOOL#167,23-Aug-10,"1,411.20","Children, Families & Education",Grants
Aug9027,CANTERBURY AND DISTRICT EARLY YEARS PROJECT#CT1 1EA,23-Aug-10,"1,458.99","Children, Families & Education",Agency Staff
Aug9035,CANTERBURY COLLEGE#518414,23-Aug-10,"1,463.00","Children, Families & Education",Grants
Aug9043,SPRINGFIELD EDUCATION & TRAINING#SET,23-Aug-10,"1,475.00","Children, Families & Education",External Training
Aug9045,MAIDSTONE BOROUGH COUNCIL,23-Aug-10,"1,476.80","Children, Families & Education",National and Non Domestic Rates and Council Tax
Aug9087,KENT TOP TEMPS LTD,23-Aug-10,"1,510.25","Children, Families & Education",Agency Staff
Aug9130,BUSY BODIES DAY CARE#543920,23-Aug-10,"1,542.80","Children, Families & Education",Grants
Aug9132,KENT TOP TEMPS LTD,23-Aug-10,"1,544.06","Children, Families & Education",Agency Staff
Aug9156,CHUCKLES PRE-SCHOOL#199/516079,23-Aug-10,"1,556.10","Children, Families & Education",Grants
Aug9182,LITTLE CUBS#543925,23-Aug-10,"1,596.00","Children, Families & Education",Grants
Aug9183,PLAYBOX DAY NURSERY#543922,23-Aug-10,"1,596.00","Children, Families & Education",Grants
Aug9184,ST BART'S DAY NURSERIES#543608/543590,23-Aug-10,"1,596.00","Children, Families & Education",Grants
Aug9204,KENT TOP TEMPS LTD,23-Aug-10,"1,610.24","Children, Families & Education",Agency Staff
Aug9223,LITTLE STARS NURSERY#543655,23-Aug-10,"1,633.80","Children, Families & Education",Grants
Aug9236,ST PETERS PLAYGROUP#543808,23-Aug-10,"1,650.60","Children, Families & Education",Grants
Aug9301,KILNDOWN PRE-SCHOOL-CRANBROOK#522239,23-Aug-10,"1,719.90","Children, Families & Education",Grants
Aug9302,COUNTRY KIDS NURSERY-CRANBROOK#543738,23-Aug-10,"1,722.00","Children, Families & Education",Grants
Aug9319,ST NICHOLAS NURSERY-FOLKESTONE#510827,23-Aug-10,"1,755.25","Children, Families & Education",Grants
Aug9362,CHISLET & DISTRICT PLAYGROUP#583271,23-Aug-10,"1,829.10","Children, Families & Education",Grants
Aug9366,WELL PLACE DAY NURSERY LTD#543447,23-Aug-10,"1,835.40","Children, Families & Education",Grants
Aug9376,STOWTING MONTESSORI SCHOOL#543885,23-Aug-10,"1,862.00","Children, Families & Education",Grants
Aug9386,SMUGGLERS DEN PRE-SCHOOL#520238,23-Aug-10,"1,875.30","Children, Families & Education",Grants
Aug9393,PENSHURST NURSERY SCHOOL & PLAYGROUP#515315,23-Aug-10,"1,883.70","Children, Families & Education",Grants
Aug9397,MOUCHEL LTD,23-Aug-10,"1,890.00","Children, Families & Education",Design Fees - External
Aug9401,MILLMEAD CHILDREN'S CENTRE-MCCP LTDMARGATE#543726,23-Aug-10,"1,891.50","Children, Families & Education",Grants
Aug9405,CHERUBS PRE-SCHOOL-CHART SUTTON#543802,23-Aug-10,"1,897.35","Children, Families & Education",Grants
Aug9425,THE VINE NURSERY#513434,23-Aug-10,"1,940.40","Children, Families & Education",Grants
Aug9431,BADGERS NURSERY-RODMERSHAM#543841,23-Aug-10,"1,951.95","Children, Families & Education",Grants
Aug9451,BRIDGEWOOD NURSERY#543358,23-Aug-10,"1,995.00","Children, Families & Education",Grants
Aug9452,TRYPHINA ROBERTS#543702,23-Aug-10,"1,995.00","Children, Families & Education",Grants
Aug9497,STEPPING STONES PRE-SCHOOL (SUNDRIDGE)#543827,23-Aug-10,"2,047.50","Children, Families & Education",Grants
Aug9510,QUINTON COMMUNITY PLAYGROUP#580973,23-Aug-10,"2,070.60","Children, Families & Education",Grants
Aug9528,BRATS NURSERY#543579,23-Aug-10,"2,121.00","Children, Families & Education",Grants
Aug9534,SAPLINGS@THE SPORTS CENTRE#141,23-Aug-10,"2,128.00","Children, Families & Education",Grants
Aug9535,FORDCOMBE PRE-SCHOOL GROUP#510447,23-Aug-10,"2,129.40","Children, Families & Education",Grants
Aug9545,MR NOAHS NURSERY SCHOOL#517786,23-Aug-10,"2,152.50","Children, Families & Education",Grants
Aug9557,OTHAM NURSERY PRE-SCHOOL#358/513561,23-Aug-10,"2,178.54","Children, Families & Education",Grants
Aug9580,SAPLINGS#543797,23-Aug-10,"2,222.64","Children, Families & Education",Grants
Aug9608,HOLLINGBOURNE PRE-SCHOOL#524786,23-Aug-10,"2,293.20","Children, Families & Education",Grants
Aug9613,DYMCHURCH VILLAGE HALL PRE-SCHOOL#414/515110,23-Aug-10,"2,314.20","Children, Families & Education",Grants
Aug9627,LITTLE RASCALS PRE-SCHOOL PLAYGROUP-WHITSTABLE#511803,23-Aug-10,"2,375.10","Children, Families & Education",Grants
Aug9628,SHOREHAM VILLAGE PRE-SCHOOL#585624,23-Aug-10,"2,375.10","Children, Families & Education",Grants
Aug9629,STAPLE PRE-SCHOOL#513468,23-Aug-10,"2,375.10","Children, Families & Education",Grants
Aug9633,MEDWAY INSULATIONS LTD#NEW,23-Aug-10,"2,381.19","Children, Families & Education",Design Fees - External
Aug9643,FAWKHAM PRE-SCHOOL#543640,23-Aug-10,"2,394.00","Children, Families & Education",Grants
Aug9644,KIDS KINGDOM-DOPSON LEISURE LTD#543826,23-Aug-10,"2,394.00","Children, Families & Education",Grants
Aug9668,CRAY TOTS PRE-SCHOOL#404/520523,23-Aug-10,"2,456.16","Children, Families & Education",Grants
Aug9669,GREENASH PRE-SCHOOL#518353,23-Aug-10,"2,457.00","Children, Families & Education",Grants
Aug9670,POPPETS MONTESSORI DAY NURSERY#543798,23-Aug-10,"2,460.50","Children, Families & Education",Grants
Aug9671,POPPY'S DAY NURSERY LIMITED#543831,23-Aug-10,"2,460.50","Children, Families & Education",Grants
Aug9695,BRIGHT START PRE-SCHOOL#543762,23-Aug-10,"2,527.00","Children, Families & Education",Grants
Aug9708,BUSY BEES PLAYGROUP-DEAL#511433,23-Aug-10,"2,552.55","Children, Families & Education",Grants
Aug9713,FULLERS HILL PLAYGROUP#514706,23-Aug-10,"2,569.98","Children, Families & Education",Grants
Aug9716,MEDWAY INSULATIONS LTD#NEW,23-Aug-10,"2,574.33","Children, Families & Education",Design Fees - External
Aug9726,THE LEARNING TREE#543334/521690,23-Aug-10,"2,620.80","Children, Families & Education",Grants
Aug9727,KERSHAW CONTRACTING SERVICES LTD#NEW,23-Aug-10,"2,627.42","Children, Families & Education",Building Works - Main Contract
Aug9730,BROOMFIELD DUCKLINGS PRE-SCHOOL PLAYGROUP#515610,23-Aug-10,"2,646.00","Children, Families & Education",Grants
Aug9743,KENT TOP TEMPS LTD,23-Aug-10,"2,722.50","Children, Families & Education",Agency Staff
Aug9749,CULVERSTONE PRE-SCHOOL GROUP#513096,23-Aug-10,"2,743.65","Children, Families & Education",Grants
Aug9754,CAPEL-LE-FERNE PRE-SCHOOL#543602,23-Aug-10,"2,764.13","Children, Families & Education",Grants
Aug9756,ABACUS CHILDRENS NURSERY (LONGFIELD)-ACN LTD#543631,23-Aug-10,"2,779.70","Children, Families & Education",Grants
Aug9757,HARTLIP PLAYGROUP#515203,23-Aug-10,"2,784.60","Children, Families & Education",Grants
Aug9758,MONKTON UNDER 5'S PLAYGROUP#582804,23-Aug-10,"2,784.60","Children, Families & Education",Grants
Aug9759,THE CHERRIES PRE-SCHOOL PLAYGROUP#543344,23-Aug-10,"2,784.60","Children, Families & Education",Grants
Aug9762,LITTLE ACORNS NURSERY AT HIGH HALDENB#065#945,23-Aug-10,"2,793.00","Children, Families & Education",Grants
Aug9763,PIERREMONT PARK PRE SCHOOL 2#543896,23-Aug-10,"2,793.00","Children, Families & Education",Grants
Aug9768,MAGGIE STEPHENSON CONSULTANCY#CT20 2LX,23-Aug-10,"2,800.00","Children, Families & Education",Specialists Fees
Aug9771,ST JOHNS PRE-SCHOOL- MARGATE#543403,23-Aug-10,"2,803.50","Children, Families & Education",Grants
Aug9775,BLEAN PRE-SCHOOL#517270,23-Aug-10,"2,811.90","Children, Families & Education",Grants
Aug9786,BROUGHTON COTTAGE DAY NURSERY-LONGACRE CC LTD#543434,23-Aug-10,"2,859.50","Children, Families & Education",Grants
Aug9791,DUNTON GREEN PRE-SCHOOL#543394,23-Aug-10,"2,866.50","Children, Families & Education",Grants
Aug9792,TIA'S LITTLE STARS#543825,23-Aug-10,"2,866.50","Children, Families & Education",Grants
Aug9803,EASTERN AND COASTAL KENT COMMUNITY SERVICES,23-Aug-10,"2,899.66","Children, Families & Education",APTC Staff
Aug9808,AECOM LIMITED,23-Aug-10,"2,918.27","Children, Families & Education",Design Fees - External
Aug9812,BUMBLE BEES NURSERY-SEVENOAKS#543575,23-Aug-10,"2,926.00","Children, Families & Education",Grants
Aug9813,BENENDEN PRE-SCHOOL PLAYGROUP#521452,23-Aug-10,"2,927.40","Children, Families & Education",Grants
