"PSB - PS Business Parks, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Free Cash Flow,-24.408,92.07000000000001,113.917,108.25099999999999,130.897,100.097,88.415,-12.066000000000003,2.556999999999988,154.14499999999998,150.112,-158.68799999999996,-165.485,101.33300000000001,49.422,49.42199999999999,,-12.0,25.9,-32.9,-5.408000000000001,-7.93,28.769,-15.739,86.97,19.58,35.41,-60.467999999999996,119.39500000000001,29.740000000000002,22.961000000000002,44.263,11.287000000000003,15.736,-15.820999999999998,23.546,28.331,29.706,-1.3100000000000023,27.841,43.86,26.924999999999997,28.28,31.147999999999996,2.0619999999999976,-31.451999999999998,-10.109000000000002,34.317,-4.821999999999996,-72.46799999999999,33.015,11.463999999999999,30.546000000000003,40.399,38.028,40.5,35.217999999999996,43.129999999999995,38.789,36.939,31.254000000000005,-24.004999999999995,-28.370000000000005,0.5240000000000009,-106.83700000000002,37.193,10.691000000000003,34.120000000000005,-247.48900000000003,44.67399999999999,33.474,-1.073999999999998,24.259000000000004,42.834,38.0,27.568999999999996,-58.981
PE Ratio(ttm),14.14,14.05,17.25,16.42,26.79,34.27,33.58,95.03,64.48,39.7,19.99,282.84,26.11,80.22,0.0,57.9,,14.25,15.64,16.79,14.14,12.66,14.55,16.13,14.05,13.45,13.61,13.39,17.25,17.5,17.96,17.38,16.42,18.51,19.98,22.64,26.79,31.75,36.92,46.34,34.27,27.68,29.91,22.83,33.58,40.97,45.21,73.99,95.03,88.04,83.01,70.1,64.48,71.59,68.62,68.98,39.7,14.48,17.65,17.85,19.99,38.58,41.81,42.41,282.84,149.72,115.51,69.09,26.11,41.14,56.76,86.44,80.22,77.37,54.67,50.42,0.0
Price to Tangible Book,0.0,1.14,1.13,1.03,1.33,0.97,0.98,1.46,0.97,0.82,1.01,1.15,1.13,1.09,0.0,3.73,,0.0,0.0,0.0,0.0,0.87,1.01,1.13,1.14,1.11,1.02,1.02,1.13,1.14,1.14,1.11,1.03,0.97,1.13,1.21,1.33,1.27,0.95,0.89,0.97,0.86,0.88,0.91,0.98,1.11,1.16,1.16,1.46,1.26,1.15,1.02,0.97,0.93,0.96,1.04,0.82,0.71,0.93,0.95,1.01,1.07,1.17,1.19,1.15,1.19,1.13,1.03,1.13,1.28,1.21,1.12,1.09,0.0,0.0,0.0,0.0
Price-to-Free-Cash-Flow ratio,0.0,7.02,6.05,6.4,17.34,9.89,12.3,0.0,404.23,5.98,7.27,0.0,0.0,15.55,0.0,15.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,5.27,5.11,8.03,6.05,6.06,6.7,3.41,6.4,6.87,13.9,23.59,17.34,15.4,10.91,10.3,9.89,9.12,7.72,7.76,12.3,42.05,16.76,16.3,0.0,0.0,0.0,0.0,404.23,9.56,9.25,8.02,5.98,4.84,6.33,7.01,7.27,14.05,72.44,80.81,0.0,0.0,0.0,64.34,0.0,0.0,0.0,0.0,15.55,19.3,16.94,13.74,0.0
PS Ratio,4.06,4.97,4.78,3.79,4.63,4.64,4.92,6.45,4.19,3.27,4.05,4.96,4.57,4.55,0.0,5.89,,4.68,5.16,5.36,4.06,3.46,3.81,4.06,4.97,4.7,4.7,4.43,4.78,4.89,4.64,4.36,3.79,3.5,4.08,4.34,4.63,5.11,4.46,4.34,4.64,4.15,4.51,4.61,4.92,5.44,5.62,5.55,6.45,6.13,5.39,4.66,4.19,4.01,4.01,4.26,3.27,2.71,3.6,3.96,4.05,4.56,4.95,5.07,4.96,5.05,4.75,4.17,4.57,5.18,5.12,4.88,4.55,5.48,4.99,5.13,0.0
EV-to-Revenue,5.62,7.5,8.12,6.24,5.5,8.45,9.05,9.72,7.78,6.62,7.15,8.44,9.49,8.89,0.0,9.29,,7.09,6.95,8.52,5.62,6.0,6.27,6.54,7.5,7.21,7.79,7.52,8.12,8.76,8.34,7.92,6.24,6.65,7.26,7.49,5.5,8.86,8.66,8.35,8.45,7.67,7.89,7.68,9.05,8.82,9.13,8.92,9.72,9.93,9.05,8.29,7.78,7.43,7.4,7.8,6.62,5.91,6.78,7.44,7.15,7.67,8.04,8.3,8.44,8.38,8.09,7.37,9.49,9.9,9.68,9.01,8.89,9.74,9.19,9.29,0.0
EV-to-EBITDA,14.05,11.35,29.34,19.63,26.54,12.13,13.29,14.65,11.81,9.99,10.8,13.11,14.94,13.77,0.0,15.13,,21.35,20.97,25.43,14.05,11.58,12.43,9.58,11.35,13.73,14.99,23.51,29.34,40.0,35.27,31.27,19.63,15.45,13.28,11.49,26.54,15.96,15.7,15.14,12.13,11.0,11.4,11.18,13.29,13.06,13.65,13.43,14.65,15.01,13.7,12.56,11.81,11.32,11.25,11.88,9.99,8.92,10.22,11.18,10.8,11.72,12.31,12.78,13.11,12.96,12.56,11.39,14.94,15.5,15.14,14.2,13.77,15.1,14.25,14.41,0.0
EV-to-EBIT,0.0,23.49,16.71,14.98,13.54,24.07,27.5,31.52,26.18,21.4,20.43,23.48,27.01,26.9,0.0,29.4,,0.0,0.0,0.0,0.0,47.64,25.5,27.38,23.49,13.35,14.39,14.05,16.71,16.64,16.08,15.5,14.98,57.31,30.55,22.03,13.54,22.91,23.89,23.91,24.07,22.16,22.97,22.66,27.5,27.2,28.95,28.82,31.52,31.85,29.53,27.3,26.18,25.85,25.36,26.28,21.4,18.6,20.81,22.04,20.43,21.5,21.72,22.63,23.48,23.32,22.98,20.45,27.01,28.79,28.73,27.7,26.9,29.17,27.25,27.31,0.0
Earnings Yield (Joel Greenblatt),0.0,4.26,5.98,6.68,7.39,4.15,3.64,3.17,3.82,4.67,4.89,4.26,3.7,3.72,0.0,3.4,,0.0,0.0,0.0,0.0,2.1,3.92,3.65,4.26,7.49,6.95,7.12,5.98,6.01,6.22,6.45,6.68,1.74,3.27,4.54,7.39,4.36,4.19,4.18,4.15,4.51,4.35,4.41,3.64,3.68,3.45,3.47,3.17,3.14,3.39,3.66,3.82,3.87,3.94,3.81,4.67,5.38,4.81,4.54,4.89,4.65,4.6,4.42,4.26,4.29,4.35,4.89,3.7,3.47,3.48,3.61,3.72,3.43,3.67,3.66,0.0
Forward Rate of Return,-9.48,-11.04,21.45,-11.04,-1.52,16.01,26.86,46.05,27.83,20.56,11.27,5.51,4.42,5.53,0.0,4.04,,-7.37,-8.37,-8.28,-9.48,-7.7,-8.16,-9.59,-11.04,-8.35,-8.28,-9.48,21.45,-7.7,-8.16,-9.59,-11.04,-8.35,-7.85,-5.0,-1.52,14.49,14.58,11.5,16.01,16.87,18.24,31.25,26.86,32.39,42.41,44.11,46.05,42.97,37.65,33.39,27.83,25.87,22.71,22.57,20.56,17.75,15.25,14.63,11.27,8.93,8.01,6.41,5.51,4.75,4.42,3.43,4.42,5.98,4.74,4.82,5.53,5.22,5.21,5.89,0.0
Shiller PE Ratio,14.69,16.41,18.11,17.59,22.39,24.69,27.09,45.06,36.5,35.82,35.73,46.13,42.11,48.79,0.0,60.3,,0.0,0.0,16.95,14.69,12.93,15.0,16.81,16.41,15.76,16.04,15.84,18.11,19.34,19.47,18.78,17.59,16.21,19.04,20.29,22.39,25.32,22.23,22.74,24.69,21.97,24.7,24.43,27.09,31.2,33.32,35.22,45.06,44.28,41.51,38.22,36.5,37.7,39.04,43.89,35.82,24.83,33.4,35.51,35.73,36.65,37.82,37.01,46.13,45.29,41.81,37.77,42.11,49.6,52.36,50.99,48.79,58.34,52.26,52.6,0.0
Market Cap,539.37975,640.7900000000001,678.195,685.926,889.9782,984.082,1067.64,1540.416,1121.9425,913.7436,1221.2199999999998,1374.6124,1337.5258999999999,1579.0140000000001,0.0,2292.438,,518.61432,576.225,695.5,413.98175,477.38625,562.08,629.7475,640.7900000000001,623.6355,633.36,622.696,678.195,748.8625000000001,753.1725000000001,732.7,685.926,635.7575,753.655,814.0518000000001,889.9782,1003.4775,877.6344,869.527,984.082,880.1519999999999,973.455,993.8599999999999,1067.64,1200.6024,1256.11,1284.3899999999999,1540.416,1504.1915999999999,1365.76,1213.7475000000002,1121.9425,1060.317,1086.9992,1178.496,913.7436,753.951,995.442,1251.6948,1221.2199999999998,1307.7659999999998,1372.188,1392.7534,1374.6124,1431.6974,1362.072,1195.4002,1337.5258999999999,1586.0680000000002,1642.21,1622.3896,1579.0140000000001,1920.9128,1759.5046,1820.728,0.0
Enterprise Value,847.1257499999999,978.239,1203.2310000000002,1141.424,1058.6512,1803.344,1992.0840000000003,2361.166,2113.0965,1867.0596,1941.8819999999996,2342.2003999999997,2829.5658999999996,3087.8050000000003,0.0,3505.957,,741.11432,790.825,1030.3,721.72775,811.1632500000001,890.885,963.7925,978.239,966.5615,1067.891,1067.847,1203.2310000000002,1375.7395000000001,1374.3355000000001,1340.931,1141.424,1223.5405,1356.6080000000002,1406.0277999999998,1058.6512,1740.7885,1704.9194000000002,1679.5610000000001,1803.344,1638.0839999999998,1713.56,1679.7679999999998,1992.0840000000003,1985.2654000000002,2089.728,2105.801,2361.166,2474.7295999999997,2328.233,2190.0105000000003,2113.0965,2054.673,2068.3472,2204.259,1867.0596,1659.1980000000003,1883.463,2031.3688000000002,1941.8819999999996,2067.42,2183.315,2279.4683999999997,2342.2003999999997,2378.9364,2323.336,2165.8032000000003,2829.5658999999996,3061.418,3118.518,2997.5056,3087.8050000000003,3415.3738000000003,3243.1686,3305.0060000000003,0.0
Net Cash (per share),-11.56,-15.9,-26.49,-22.83,-31.92,-16.03,-17.07,-16.03,-15.27,-14.34,-5.78,-17.12,-39.55,-28.53,-18.22,-18.22,,-10.0,-9.89,-13.23,-15.06,-12.86,-12.83,-13.24,-15.9,-13.65,-15.29,-15.99,-26.49,-23.05,-22.6,-21.84,-22.83,-21.07,-21.97,-21.32,-31.92,-25.5,-20.45,-17.47,-16.03,-13.02,-8.91,-6.01,-17.07,-10.84,-12.91,-11.47,-16.03,-14.08,-13.6,-14.37,-15.27,-16.02,-15.41,-14.87,-14.34,-16.01,-15.12,-6.2,-5.78,-7.32,-11.75,-12.9,-17.12,-16.21,-16.76,-17.72,-39.55,-36.2,-31.23,-28.67,-28.53,-23.24,-22.71,-23.13,-18.22
Net Current Asset Value (per share),-11.36,-15.9,-26.49,-22.83,-31.92,-16.03,-17.07,-15.2,-14.42,-13.48,-5.04,-16.35,-39.45,-28.38,-18.08,-18.08,,-10.0,-9.89,-13.23,-14.8,-12.66,-12.57,-12.99,-15.9,-13.37,-14.99,-15.67,-26.49,-22.64,-22.14,-21.37,-22.83,-20.57,-21.51,-20.84,-31.92,-24.88,-19.85,-16.88,-16.03,-12.35,-8.2,-5.29,-17.07,-10.05,-12.13,-10.64,-15.2,-13.19,-12.77,-13.52,-14.42,-15.08,-14.54,-13.99,-14.34,-16.01,-15.12,-5.46,-5.04,-7.22,-11.68,-12.13,-16.35,-16.07,-16.66,-17.61,-39.45,-36.08,-31.07,-28.53,-28.38,-23.05,-22.57,-22.99,-18.08
Projected FCF (per share),1.27,7.6,17.77,27.79,33.65,78.59,91.27,77.22,70.45,77.17,75.35,52.95,37.08,52.94,0.0,65.08,,0.0,-0.84,1.09,1.27,0.42,2.45,1.53,7.6,8.91,13.62,8.9,17.77,21.95,23.52,26.87,27.79,28.87,27.62,31.96,33.65,40.4,66.78,71.03,78.59,82.0,84.16,88.83,91.27,89.91,87.22,93.34,77.22,74.58,74.44,81.45,70.45,74.46,76.09,76.3,77.17,78.09,82.51,80.32,75.35,70.04,64.88,61.84,52.95,53.79,52.66,52.56,37.08,43.97,50.39,51.05,52.94,63.85,64.04,65.08,0.0
Median PS (per share),26.14,26.05,30.71,39.14,41.52,45.3,46.65,52.24,58.48,63.56,57.55,52.38,56.48,66.54,0.0,67.85,,21.86,22.0,22.6,26.14,27.45,29.36,31.32,26.05,26.93,27.77,29.13,30.71,33.09,35.09,36.3,39.14,39.56,40.31,40.54,41.52,42.27,42.08,42.83,45.3,45.2,45.95,46.27,46.65,47.86,48.93,50.65,52.24,53.64,55.31,56.81,58.48,60.35,61.75,63.05,63.56,63.38,62.72,60.35,57.55,54.62,52.52,51.96,52.38,53.45,54.06,55.36,56.48,58.95,61.65,63.84,66.54,67.1,67.43,67.85,0.0
Peter Lynch Fair Value (per share),0.0,0.0,45.65,32.0,13.4,23.87,36.63,19.03,15.06,13.47,17.58,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.45,51.7,45.65,49.65,47.6,40.47,32.0,21.82,20.09,15.72,13.4,27.71,20.11,15.14,23.87,26.22,29.79,47.12,36.63,34.13,32.63,20.38,19.03,20.03,19.28,19.43,15.06,10.61,9.69,9.81,13.47,28.05,26.24,21.94,17.58,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,8.76,18.23,0.0
Graham Number (per share),30.32,33.33,35.7,37.33,38.77,47.31,55.84,57.39,62.58,71.45,65.02,65.22,67.36,72.11,78.94,78.94,,26.09,28.84,25.86,39.46,30.65,31.22,34.29,36.64,37.35,40.31,38.26,35.7,36.77,36.54,35.92,37.35,41.6,45.62,45.35,44.55,44.62,42.6,43.07,47.65,48.94,52.64,55.8,55.84,56.96,57.64,57.91,57.39,64.01,65.73,67.99,62.58,63.61,64.05,64.65,71.45,70.49,70.68,64.12,65.02,65.27,65.12,65.09,65.27,66.01,65.58,68.08,67.35,67.94,70.16,70.78,72.11,75.83,76.93,78.09,78.94
Altman Z-Score,0.88,1.25,0.9,1.07,0.91,1.92,1.97,2.5,2.1,1.76,2.44,2.11,0.97,1.6,0.0,2.62,,1.47,1.61,1.35,0.88,1.02,1.16,1.25,1.25,1.24,1.24,1.09,0.9,0.96,1.14,1.15,1.07,1.02,1.16,1.24,0.91,1.3,1.32,1.57,1.92,1.77,1.93,2.01,1.97,2.18,2.17,2.53,2.5,2.69,2.49,2.23,2.1,2.03,2.08,2.22,1.76,1.56,2.01,2.46,2.44,2.55,2.68,2.64,2.11,2.29,2.13,1.84,0.97,1.24,1.48,1.42,1.6,2.29,2.14,2.17,0.0
Piotroski F-Score,5.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,7.0,8.0,4.0,4.0,6.0,6.0,0.0,5.0,,0.0,3.0,3.0,5.0,5.0,8.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,4.0,5.0,7.0,5.0,6.0,4.0,8.0,9.0,7.0,7.0,4.0,6.0,7.0,4.0,4.0,4.0,3.0,6.0,6.0,5.0,7.0,6.0,6.0,6.0,5.0,5.0,0.0
Beneish M-Score,0.0,0.0,-3.82,-1.99,-3.65,-1.63,-2.22,-1.19,-1.47,-4.24,-3.11,-2.72,-3.45,-2.24,0.0,-2.88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.78,-3.15,-2.73,-3.82,-3.46,-3.11,-3.16,-1.99,-2.59,-2.52,-2.47,-3.65,-3.5,-2.44,-2.41,-1.63,-1.47,-1.12,-1.44,-2.22,-2.78,-3.86,-3.9,-1.19,-3.26,-2.96,-3.02,-1.47,-3.02,-2.69,-2.88,-4.24,-4.22,0.0,-3.42,-3.11,-2.81,-2.72,-2.53,-2.72,-2.78,-2.84,-2.94,-3.45,-3.28,-2.51,-2.73,-2.24,-2.44,-2.98,-2.88,0.0
Highest Stock Price,26.0,28.75,31.7,35.36,41.35,45.55,49.2,73.68,65.81,59.38,54.44,60.93,59.19,71.05,0.0,,,23.44,26.25,26.0,23.75,22.75,25.13,27.88,28.75,29.0,29.0,29.6,31.7,36.5,37.24,35.36,34.03,32.12,36.12,39.4,41.35,46.35,46.37,41.08,45.55,45.23,45.61,46.7,49.2,55.92,59.01,62.65,73.68,77.6,71.75,65.81,63.95,54.79,59.35,59.38,57.06,46.37,48.48,54.44,51.39,54.46,61.4,60.63,60.93,63.04,60.66,59.19,56.24,65.54,69.54,71.05,67.36,78.92,85.72,77.52,0.0
Lowest Stock Price,21.0,20.0,26.0,30.0,29.75,36.0,38.85,50.0,50.75,34.98,29.86,44.42,46.7,55.86,0.0,,,21.38,21.63,22.44,21.0,20.0,20.5,24.0,25.99,26.01,26.0,26.5,26.8,30.7,34.5,31.6,30.0,29.75,29.95,35.55,37.7,41.45,36.0,38.58,40.5,39.84,38.85,43.38,42.99,50.0,50.35,58.45,60.2,66.83,61.0,51.4,50.75,43.75,53.18,50.55,34.98,29.86,36.52,42.95,46.64,44.42,51.31,52.52,51.82,55.65,52.48,47.11,46.7,55.86,64.5,66.33,63.59,66.01,66.0,70.76,0.0
Tangibles book per share,21.06,24.44,27.82,30.78,23.28,23.19,23.05,22.66,20.58,20.26,24.17,24.12,24.06,23.07,26.94,26.94,,20.8,23.24,20.6,27.44,21.27,21.39,21.84,24.44,22.04,22.07,21.4,27.82,22.45,22.61,22.81,30.78,22.72,23.11,23.17,23.28,23.24,22.86,22.74,23.19,23.29,23.13,23.54,23.05,22.79,22.75,22.68,22.66,22.47,22.24,22.03,20.58,20.52,20.34,20.19,20.26,21.56,21.49,24.23,24.17,24.22,24.27,24.22,24.12,24.39,24.41,24.12,24.06,23.78,23.33,23.06,23.07,22.93,22.92,22.9,26.94
