Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,,Dec97,Dec98,Dec99,Dec00,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Projected FCF (per share),0.0,0.0,0.0,0.01,-0.04,0.22,-0.23,-1.07,-1.78,-2.09,-2.3,-2.85,-2.25,-2.47,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,-0.04,0.0,0.0,0.0,0.22,0.0,0.0,0.0,-0.23,0.0,0.0,-0.83,-1.07,-1.42,0.18,-0.22,-1.78,-0.68,-0.89,-1.09,-2.09,-1.68,-1.9,-2.07,-2.3,-2.45,-2.6,-2.76,-2.85,-2.17,-2.05,-2.1,-2.25,-2.2,-2.31,-2.41,-2.47,-2.5,-2.54,0.0,0.0
Median PS (per share),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Lynch Fair Value (per share),0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.75,-11.5,-6.07,-8.56,-8.61,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.75,0.0,0.0,0.0,-11.5,0.0,0.0,0.0,-6.07,0.0,0.0,0.0,-8.56,-7.22,-2.3,0.0,-8.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Graham Number (per share),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Altman Z-Score,0.0,0.0,33.67,98.73,150.93,232.34,304.02,121.89,22.98,5.06,16.86,13.89,25.48,11.1,-3.47,8.28,,0.0,0.0,0.0,0.0,33.67,0.0,0.0,0.0,98.73,0.0,0.0,0.0,150.93,128.1,167.98,282.56,232.34,369.18,190.23,509.57,304.02,3669.68,772.51,800.35,121.89,164.92,42.51,29.39,22.98,41.65,48.92,7.52,5.06,5.86,5.42,18.67,16.86,12.51,14.62,11.44,13.89,25.83,25.71,21.35,25.48,31.33,18.54,21.39,11.1,8.93,1.14,0.0,-3.47
Piotroski F-Score,0.0,0.0,4.0,1.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,0.0,1.0,,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0
Beneish M-Score,0.0,0.0,0.0,-16.57,14.79,-4.61,-3.19,-4.5,-8.92,-2.66,-2.03,-4.03,-3.48,-2.74,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.57,0.0,0.0,0.0,14.79,0.0,0.0,0.0,-4.61,0.0,0.0,1.94,-3.19,-3.14,-2.91,-3.99,-4.5,-16.45,-4.99,-3.02,-8.92,-5.17,-7.75,-5.72,-2.66,-1.53,-2.72,-2.49,-2.03,-1.96,-2.12,-2.98,-4.03,-3.72,-3.19,-3.95,-3.48,-2.51,-3.07,-3.02,-2.74,-3.65,-3.34,0.0,0.0
Highest Stock Price,0.38,0.13,0.05,1.25,7.25,6.51,8.3,7.47,4.8,3.29,3.35,4.18,2.82,1.68,0.93,,,0.26,0.44,0.38,0.13,0.05,0.13,0.22,0.85,1.25,2.45,1.8,3.7,7.25,7.8,9.45,6.51,6.5,6.31,6.15,6.52,8.3,9.16,9.97,7.47,6.4,6.47,5.33,4.15,4.8,4.39,3.94,3.29,1.79,2.05,2.0,2.83,3.35,3.29,2.84,2.36,4.18,4.3,3.18,2.36,2.82,2.2,1.77,1.68,1.54,1.25,0.96,0.93,0.65
Lowest Stock Price,0.0,0.06,0.05,0.05,1.2,3.45,3.75,4.91,2.87,0.57,1.15,1.49,1.4,0.9,0.5,,,0.16,0.25,0.22,0.06,0.05,0.05,0.06,0.15,0.72,1.59,1.2,1.33,3.04,5.9,3.45,4.1,4.02,3.75,4.13,4.86,6.22,6.2,6.2,5.6,4.91,4.53,3.33,2.87,2.99,3.21,2.64,1.29,0.57,1.15,1.32,1.37,2.1,2.45,1.76,1.49,2.14,2.34,1.92,1.4,1.42,1.66,1.15,1.19,0.9,0.95,0.53,0.54,0.5
eps without NRI,-0.02,0.0,0.0,-0.06,-0.18,-0.26,-0.45,-0.47,-0.46,-0.48,-0.41,-0.46,-0.2,-0.28,-0.25,-0.25,,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,-0.02,-0.05,-0.05,-0.05,-0.04,-0.17,-0.02,-0.04,-0.03,-0.11,-0.1,-0.11,-0.14,-0.08,-0.12,-0.11,-0.15,-0.14,-0.09,-0.09,-0.15,-0.08,-0.11,-0.14,-0.14,-0.13,-0.08,-0.1,-0.09,-0.15,-0.05,-0.12,-0.14,0.05,-0.06,-0.1,-0.09,-0.05,-0.08,-0.09,-0.06,-0.07,-0.06,-0.06,-0.06
Tangibles book per share,0.08,0.08,0.08,0.1,0.24,0.66,0.77,0.47,1.81,1.18,0.81,0.54,0.77,0.5,0.26,0.26,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.22,0.72,0.71,0.68,0.66,0.61,0.57,0.46,0.77,0.76,0.69,0.58,0.47,0.34,1.76,1.5,1.81,1.72,1.63,1.53,1.18,1.2,1.12,1.02,0.81,0.72,0.65,0.57,0.54,0.93,0.9,0.84,0.77,0.73,0.65,0.56,0.5,0.44,0.37,0.31,0.26
