,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;,NSW ;  Passenger vehicles ;,NSW ;  Sports utility vehicles ;,NSW ;  Other vehicles ;,NSW ;  Total vehicles ;,Vic. ;  Passenger vehicles ;,Vic. ;  Sports utility vehicles ;,Vic. ;  Other vehicles ;,Vic. ;  Total vehicles ;,Qld ;  Passenger vehicles ;,Qld ;  Sports utility vehicles ;,Qld ;  Other vehicles ;,Qld ;  Total vehicles ;,SA ;  Passenger vehicles ;,SA ;  Sports utility vehicles ;,SA ;  Other vehicles ;,SA ;  Total vehicles ;,WA ;  Passenger vehicles ;,WA ;  Sports utility vehicles ;,WA ;  Other vehicles ;,WA ;  Total vehicles ;,Tas. ;  Passenger vehicles ;,Tas. ;  Sports utility vehicles ;,Tas. ;  Other vehicles ;,Tas. ;  Total vehicles ;,NT ;  Passenger vehicles ;,NT ;  Sports utility vehicles ;,NT ;  Other vehicles ;,NT ;  Total vehicles ;,ACT ;  Passenger vehicles ;,ACT ;  Sports utility vehicles ;,ACT ;  Other vehicles ;,ACT ;  Total vehicles ;,Aust. ;  Passenger vehicles ;,Aust. ;  Sports utility vehicles ;,Aust. ;  Other vehicles ;,Aust. ;  Total vehicles ;
36161.0,13115.0,1960.0,2381.0,17456.0,9164.0,1274.0,1781.0,12219.0,6010.0,1240.0,1691.0,8941.0,2237.0,324.0,422.0,2983.0,3387.0,754.0,840.0,4981.0,593.0,99.0,147.0,839.0,260.0,110.0,123.0,493.0,755.0,73.0,78.0,906.0,35521.0,5834.0,7463.0,48818.0,16883.0,2468.0,3552.0,22903.0,12257.0,1629.0,2723.0,16608.0,7738.0,1614.0,2447.0,11800.0,2982.0,425.0,614.0,4021.0,4195.0,903.0,1105.0,6203.0,830.0,131.0,214.0,1175.0,366.0,148.0,176.0,689.0,957.0,99.0,112.0,1168.0,46209.0,7417.0,10942.0,64568.0,17002.0,2851.0,3594.0,23447.0,12681.0,1778.0,2506.0,16966.0,7750.0,1748.0,2499.0,11997.0,3035.0,429.0,624.0,4088.0,4321.0,934.0,1077.0,6332.0,805.0,145.0,225.0,1176.0,393.0,155.0,177.0,725.0,916.0,109.0,111.0,1135.0,46903.0,8150.0,10813.0,65866.0
36192.0,15485.0,2651.0,3324.0,21460.0,11570.0,1641.0,2234.0,15445.0,6869.0,1593.0,2253.0,10715.0,2824.0,385.0,542.0,3751.0,3993.0,883.0,1084.0,5960.0,649.0,114.0,178.0,941.0,330.0,123.0,166.0,619.0,804.0,97.0,98.0,999.0,42524.0,7487.0,9879.0,59890.0,16365.0,2874.0,3583.0,22822.0,12138.0,1754.0,2411.0,16304.0,7124.0,1702.0,2391.0,11218.0,2959.0,407.0,599.0,3965.0,4259.0,921.0,1076.0,6255.0,820.0,123.0,211.0,1155.0,357.0,148.0,185.0,690.0,861.0,104.0,110.0,1075.0,44882.0,8035.0,10566.0,63483.0,17019.0,2900.0,3578.0,23496.0,12839.0,1830.0,2506.0,17175.0,7764.0,1781.0,2469.0,12014.0,3057.0,445.0,604.0,4106.0,4331.0,943.0,1070.0,6343.0,817.0,146.0,225.0,1189.0,396.0,159.0,172.0,727.0,904.0,111.0,109.0,1123.0,47127.0,8313.0,10732.0,66173.0
36220.0,19255.0,3786.0,4222.0,27263.0,14615.0,2360.0,2738.0,19713.0,9453.0,2230.0,2917.0,14600.0,3621.0,576.0,675.0,4872.0,4842.0,1083.0,1263.0,7188.0,774.0,175.0,252.0,1201.0,550.0,195.0,199.0,944.0,1002.0,111.0,117.0,1230.0,54112.0,10516.0,12383.0,77011.0,17398.0,3077.0,3617.0,24093.0,13393.0,1851.0,2523.0,17767.0,8069.0,1859.0,2477.0,12405.0,3148.0,504.0,605.0,4258.0,4368.0,994.0,1088.0,6450.0,831.0,150.0,252.0,1233.0,441.0,183.0,165.0,789.0,895.0,107.0,106.0,1109.0,48544.0,8727.0,10833.0,68104.0,17091.0,3004.0,3567.0,23662.0,12997.0,1911.0,2502.0,17410.0,7763.0,1832.0,2465.0,12060.0,3058.0,461.0,599.0,4119.0,4322.0,960.0,1055.0,6337.0,822.0,145.0,225.0,1193.0,398.0,160.0,165.0,724.0,899.0,115.0,106.0,1120.0,47350.0,8589.0,10684.0,66623.0
36251.0,15677.0,2651.0,3127.0,21455.0,12767.0,1852.0,2228.0,16847.0,7063.0,1706.0,2183.0,10952.0,2774.0,422.0,508.0,3704.0,4270.0,875.0,852.0,5997.0,705.0,164.0,201.0,1070.0,460.0,140.0,134.0,734.0,798.0,121.0,98.0,1017.0,44514.0,7931.0,9331.0,61776.0,17171.0,3112.0,3532.0,23815.0,13954.0,2093.0,2414.0,18461.0,7956.0,1917.0,2450.0,12323.0,3096.0,476.0,541.0,4114.0,4535.0,973.0,997.0,6505.0,858.0,170.0,222.0,1249.0,409.0,151.0,150.0,710.0,884.0,129.0,102.0,1116.0,48863.0,9021.0,10408.0,68292.0,17139.0,3123.0,3561.0,23823.0,13084.0,1987.0,2495.0,17566.0,7717.0,1887.0,2487.0,12090.0,3026.0,471.0,614.0,4112.0,4262.0,986.0,1035.0,6283.0,819.0,143.0,226.0,1188.0,396.0,159.0,157.0,712.0,896.0,121.0,104.0,1122.0,47340.0,8877.0,10678.0,66896.0
36281.0,17115.0,3387.0,3776.0,24278.0,12139.0,2021.0,2552.0,16712.0,7252.0,1850.0,2608.0,11710.0,2928.0,463.0,730.0,4121.0,3838.0,960.0,1070.0,5868.0,660.0,146.0,305.0,1111.0,476.0,158.0,141.0,775.0,951.0,129.0,101.0,1181.0,45359.0,9114.0,11283.0,65756.0,17426.0,3284.0,3511.0,24221.0,12666.0,1990.0,2418.0,17075.0,7620.0,1893.0,2546.0,12059.0,3007.0,471.0,685.0,4164.0,4115.0,978.0,1037.0,6129.0,797.0,132.0,249.0,1178.0,389.0,154.0,139.0,682.0,896.0,137.0,98.0,1132.0,46917.0,9040.0,10684.0,66641.0,17067.0,3213.0,3562.0,23842.0,13050.0,2044.0,2492.0,17586.0,7609.0,1915.0,2525.0,12049.0,2956.0,471.0,647.0,4074.0,4138.0,1017.0,1013.0,6167.0,809.0,140.0,227.0,1177.0,391.0,152.0,151.0,693.0,895.0,126.0,103.0,1125.0,46916.0,9078.0,10720.0,66714.0
36312.0,20664.0,4378.0,5173.0,30215.0,15056.0,2863.0,3896.0,21815.0,9487.0,2790.0,4066.0,16343.0,3298.0,625.0,968.0,4891.0,4691.0,1499.0,1411.0,7601.0,773.0,212.0,281.0,1266.0,468.0,254.0,207.0,929.0,1111.0,164.0,126.0,1401.0,55548.0,12785.0,16128.0,84461.0,17217.0,3446.0,3598.0,24260.0,13086.0,2387.0,2645.0,18118.0,7642.0,2156.0,2623.0,12420.0,2848.0,473.0,661.0,3982.0,3964.0,1104.0,969.0,6037.0,827.0,193.0,186.0,1205.0,357.0,153.0,156.0,666.0,922.0,129.0,106.0,1157.0,46861.0,10040.0,10945.0,67845.0,16854.0,3257.0,3577.0,23687.0,12839.0,2069.0,2509.0,17417.0,7445.0,1899.0,2569.0,11913.0,2858.0,463.0,686.0,4007.0,3967.0,1051.0,997.0,6015.0,798.0,137.0,230.0,1165.0,381.0,140.0,149.0,670.0,894.0,128.0,104.0,1127.0,46035.0,9145.0,10821.0,66001.0
36342.0,16794.0,3108.0,3625.0,23527.0,12210.0,1852.0,2549.0,16611.0,6938.0,1567.0,2343.0,10848.0,2781.0,413.0,718.0,3912.0,3606.0,713.0,832.0,5151.0,676.0,122.0,242.0,1040.0,385.0,113.0,143.0,641.0,950.0,114.0,110.0,1174.0,44340.0,8002.0,10562.0,62904.0,16378.0,3154.0,3758.0,23290.0,12284.0,1935.0,2624.0,16844.0,7023.0,1742.0,2682.0,11447.0,2744.0,452.0,737.0,3933.0,3696.0,766.0,955.0,5416.0,697.0,126.0,245.0,1067.0,393.0,136.0,157.0,686.0,912.0,122.0,110.0,1144.0,44126.0,8433.0,11267.0,63826.0,16572.0,3246.0,3625.0,23443.0,12541.0,2059.0,2553.0,17152.0,7258.0,1846.0,2611.0,11716.0,2761.0,450.0,720.0,3931.0,3789.0,776.0,994.0,5559.0,792.0,134.0,238.0,1164.0,370.0,129.0,154.0,653.0,891.0,127.0,109.0,1127.0,44975.0,8766.0,11004.0,64745.0
36373.0,15766.0,3057.0,3534.0,22357.0,12268.0,1850.0,2403.0,16521.0,7154.0,1760.0,2442.0,11356.0,2620.0,416.0,750.0,3786.0,3648.0,755.0,983.0,5386.0,883.0,136.0,237.0,1256.0,307.0,87.0,178.0,572.0,875.0,138.0,127.0,1140.0,43521.0,8199.0,10654.0,62374.0,16020.0,3125.0,3593.0,22739.0,12277.0,1836.0,2444.0,16557.0,7043.0,1715.0,2609.0,11367.0,2635.0,411.0,844.0,3890.0,3604.0,813.0,1070.0,5487.0,783.0,130.0,256.0,1169.0,355.0,89.0,170.0,615.0,878.0,131.0,119.0,1128.0,43596.0,8251.0,11105.0,62952.0,16319.0,3206.0,3724.0,23249.0,12283.0,2025.0,2604.0,16912.0,7107.0,1786.0,2664.0,11556.0,2694.0,437.0,739.0,3871.0,3647.0,801.0,999.0,5447.0,795.0,130.0,249.0,1174.0,365.0,122.0,166.0,652.0,884.0,124.0,116.0,1124.0,44093.0,8631.0,11261.0,63985.0
36404.0,15333.0,2961.0,3439.0,21733.0,12233.0,1770.0,2412.0,16415.0,6563.0,1621.0,2421.0,10605.0,2494.0,387.0,579.0,3460.0,3473.0,745.0,832.0,5050.0,942.0,121.0,243.0,1306.0,309.0,116.0,122.0,547.0,755.0,117.0,116.0,988.0,42102.0,7838.0,10164.0,60104.0,15824.0,3127.0,3617.0,22568.0,11993.0,1928.0,2472.0,16393.0,6790.0,1674.0,2579.0,11043.0,2563.0,424.0,621.0,3609.0,3535.0,787.0,941.0,5264.0,890.0,135.0,255.0,1280.0,359.0,133.0,134.0,626.0,846.0,113.0,114.0,1073.0,42801.0,8321.0,10734.0,61856.0,16171.0,3174.0,3854.0,23200.0,12164.0,1996.0,2635.0,16796.0,7037.0,1750.0,2737.0,11524.0,2675.0,429.0,739.0,3844.0,3570.0,825.0,1006.0,5402.0,800.0,129.0,261.0,1190.0,369.0,121.0,179.0,669.0,878.0,122.0,125.0,1125.0,43665.0,8547.0,11536.0,63748.0
36434.0,15526.0,2837.0,3666.0,22029.0,11963.0,1981.0,2663.0,16607.0,6605.0,1587.0,2579.0,10771.0,2615.0,409.0,691.0,3715.0,3532.0,789.0,988.0,5309.0,743.0,133.0,245.0,1121.0,330.0,104.0,197.0,631.0,848.0,115.0,110.0,1073.0,42162.0,7955.0,11139.0,61256.0,15903.0,3146.0,4038.0,23087.0,11960.0,2241.0,2851.0,17052.0,7161.0,1721.0,2860.0,11742.0,2697.0,432.0,784.0,3913.0,3465.0,852.0,1046.0,5362.0,772.0,138.0,273.0,1183.0,357.0,101.0,201.0,659.0,880.0,117.0,124.0,1121.0,43195.0,8749.0,12176.0,64120.0,16150.0,3152.0,3973.0,23275.0,12176.0,1982.0,2637.0,16795.0,7060.0,1749.0,2823.0,11632.0,2700.0,426.0,723.0,3848.0,3555.0,845.0,1011.0,5412.0,803.0,130.0,269.0,1203.0,376.0,128.0,188.0,693.0,881.0,122.0,133.0,1137.0,43703.0,8535.0,11758.0,63995.0
36465.0,18209.0,3423.0,4455.0,26087.0,12856.0,2012.0,2920.0,17788.0,7369.0,1871.0,3144.0,12384.0,3100.0,443.0,688.0,4231.0,3888.0,914.0,1050.0,5852.0,919.0,123.0,290.0,1332.0,339.0,170.0,278.0,787.0,1127.0,137.0,196.0,1460.0,47807.0,9093.0,13021.0,69921.0,16722.0,3186.0,4178.0,24086.0,11853.0,1864.0,2795.0,16512.0,7183.0,1792.0,2952.0,11927.0,2789.0,429.0,693.0,3910.0,3690.0,902.0,1029.0,5620.0,807.0,120.0,287.0,1215.0,358.0,150.0,247.0,754.0,1094.0,125.0,161.0,1381.0,44495.0,8567.0,12342.0,65404.0,16185.0,3137.0,4037.0,23360.0,12218.0,1978.0,2602.0,16798.0,7110.0,1768.0,2899.0,11778.0,2736.0,424.0,695.0,3855.0,3578.0,861.0,1009.0,5447.0,799.0,133.0,271.0,1203.0,380.0,138.0,192.0,710.0,896.0,125.0,139.0,1160.0,43903.0,8564.0,11843.0,64310.0
36495.0,17122.0,3241.0,4381.0,24744.0,15021.0,2136.0,3031.0,20188.0,7904.0,1988.0,3103.0,12995.0,3094.0,503.0,801.0,4398.0,4048.0,975.0,1172.0,6195.0,1477.0,149.0,292.0,1918.0,405.0,170.0,265.0,840.0,991.0,139.0,136.0,1266.0,50062.0,9301.0,13181.0,72544.0,16605.0,3183.0,4433.0,24221.0,13418.0,1970.0,3082.0,18470.0,7245.0,1850.0,3045.0,12140.0,2887.0,431.0,671.0,3990.0,3661.0,868.0,1041.0,5570.0,812.0,137.0,274.0,1223.0,465.0,178.0,267.0,910.0,938.0,129.0,146.0,1212.0,46031.0,8746.0,12959.0,67736.0,16186.0,3117.0,4038.0,23341.0,12208.0,1980.0,2543.0,16731.0,7139.0,1794.0,2959.0,11892.0,2760.0,422.0,666.0,3848.0,3606.0,870.0,1000.0,5477.0,787.0,135.0,267.0,1189.0,378.0,146.0,190.0,715.0,921.0,128.0,142.0,1191.0,43985.0,8592.0,11806.0,64383.0
36526.0,12457.0,2446.0,2540.0,17443.0,8770.0,1516.0,1458.0,11744.0,5640.0,1398.0,1690.0,8728.0,2079.0,302.0,414.0,2795.0,3151.0,689.0,653.0,4493.0,510.0,105.0,168.0,783.0,267.0,94.0,109.0,470.0,739.0,97.0,100.0,936.0,33613.0,6647.0,7132.0,47392.0,15685.0,2988.0,3751.0,22424.0,11680.0,1920.0,2157.0,15757.0,7144.0,1823.0,2406.0,11374.0,2706.0,407.0,604.0,3717.0,4163.0,831.0,897.0,5891.0,725.0,134.0,250.0,1109.0,368.0,134.0,151.0,652.0,899.0,135.0,138.0,1172.0,43370.0,8372.0,10353.0,62095.0,16056.0,3071.0,3984.0,23112.0,12101.0,1958.0,2479.0,16538.0,7104.0,1786.0,2407.0,11297.0,2745.0,417.0,641.0,3804.0,3623.0,872.0,993.0,5487.0,770.0,137.0,261.0,1168.0,365.0,150.0,186.0,701.0,948.0,130.0,142.0,1219.0,43711.0,8522.0,11094.0,63326.0
36557.0,15439.0,3000.0,3705.0,22144.0,11879.0,2011.0,2449.0,16339.0,6877.0,1821.0,2420.0,11118.0,2677.0,430.0,576.0,3683.0,3631.0,901.0,1092.0,5624.0,634.0,145.0,211.0,990.0,292.0,146.0,150.0,588.0,1728.0,143.0,126.0,1997.0,43157.0,8597.0,10729.0,62483.0,15897.0,3144.0,3779.0,22820.0,11916.0,2016.0,2552.0,16484.0,6911.0,1821.0,2462.0,11193.0,2707.0,429.0,627.0,3764.0,3639.0,906.0,1027.0,5572.0,766.0,151.0,242.0,1159.0,311.0,157.0,167.0,635.0,1791.0,134.0,134.0,2059.0,43938.0,8757.0,10990.0,63685.0,15813.0,2998.0,3899.0,22711.0,11871.0,1903.0,2426.0,16200.0,6990.0,1737.0,2420.0,11146.0,2691.0,411.0,624.0,3726.0,3616.0,862.0,990.0,5469.0,752.0,139.0,258.0,1149.0,344.0,148.0,181.0,674.0,968.0,128.0,139.0,1235.0,43046.0,8326.0,10937.0,62310.0
36586.0,17427.0,3270.0,4103.0,24800.0,12713.0,2044.0,2527.0,17284.0,8032.0,1878.0,2610.0,12520.0,2905.0,447.0,697.0,4049.0,4113.0,976.0,1134.0,6223.0,687.0,165.0,252.0,1104.0,394.0,153.0,212.0,759.0,1162.0,121.0,149.0,1432.0,47433.0,9054.0,11684.0,68171.0,15721.0,2858.0,3689.0,22267.0,11486.0,1826.0,2337.0,15649.0,7007.0,1603.0,2239.0,10849.0,2642.0,402.0,629.0,3673.0,3564.0,855.0,1009.0,5428.0,733.0,141.0,247.0,1121.0,321.0,146.0,177.0,644.0,1024.0,126.0,132.0,1282.0,42498.0,7957.0,10457.0,60912.0,15554.0,2946.0,3820.0,22320.0,11583.0,1850.0,2406.0,15839.0,6832.0,1679.0,2420.0,10930.0,2620.0,408.0,614.0,3642.0,3587.0,853.0,994.0,5434.0,739.0,142.0,256.0,1137.0,324.0,143.0,179.0,646.0,983.0,123.0,135.0,1241.0,42222.0,8144.0,10824.0,61190.0
36617.0,13190.0,2557.0,3176.0,18923.0,9405.0,1733.0,2089.0,13227.0,5569.0,1382.0,1998.0,8949.0,2102.0,341.0,513.0,2956.0,3113.0,740.0,765.0,4618.0,551.0,137.0,234.0,922.0,341.0,104.0,167.0,612.0,818.0,104.0,100.0,1022.0,35089.0,7098.0,9042.0,51229.0,15254.0,2918.0,3744.0,21916.0,11298.0,1846.0,2438.0,15582.0,6493.0,1610.0,2409.0,10512.0,2488.0,395.0,578.0,3461.0,3626.0,872.0,924.0,5423.0,741.0,157.0,267.0,1165.0,310.0,120.0,191.0,621.0,967.0,120.0,121.0,1209.0,41177.0,8039.0,10673.0,59889.0,15365.0,2941.0,3768.0,22074.0,11301.0,1818.0,2425.0,15544.0,6669.0,1643.0,2415.0,10727.0,2561.0,411.0,609.0,3581.0,3542.0,857.0,999.0,5398.0,731.0,147.0,255.0,1132.0,314.0,141.0,180.0,635.0,991.0,120.0,130.0,1241.0,41474.0,8077.0,10781.0,60332.0
36647.0,15455.0,3124.0,4521.0,23100.0,11445.0,1919.0,2807.0,16171.0,6658.0,1798.0,2802.0,11258.0,2666.0,432.0,709.0,3807.0,3445.0,850.0,1206.0,5501.0,635.0,137.0,356.0,1128.0,414.0,103.0,211.0,728.0,927.0,113.0,165.0,1205.0,41645.0,8476.0,12777.0,62898.0,14888.0,2826.0,3990.0,21705.0,11125.0,1811.0,2534.0,15470.0,6596.0,1689.0,2607.0,10891.0,2583.0,409.0,642.0,3633.0,3441.0,813.0,1085.0,5339.0,723.0,120.0,267.0,1110.0,323.0,86.0,203.0,612.0,821.0,104.0,155.0,1080.0,40500.0,7858.0,11482.0,59840.0,15303.0,2971.0,3740.0,22015.0,11111.0,1802.0,2465.0,15378.0,6538.0,1640.0,2405.0,10583.0,2535.0,421.0,609.0,3566.0,3495.0,881.0,1004.0,5380.0,724.0,152.0,254.0,1130.0,318.0,141.0,183.0,642.0,997.0,120.0,126.0,1243.0,41022.0,8129.0,10786.0,59937.0
36678.0,13549.0,2643.0,5159.0,21351.0,11277.0,1707.0,3594.0,16578.0,6587.0,1575.0,3605.0,11767.0,2242.0,353.0,905.0,3500.0,3081.0,706.0,1473.0,5260.0,579.0,101.0,364.0,1044.0,341.0,108.0,228.0,677.0,861.0,135.0,145.0,1141.0,38517.0,7328.0,15473.0,61318.0,11416.0,2140.0,3625.0,17181.0,9677.0,1384.0,2481.0,13541.0,5316.0,1251.0,2313.0,8881.0,1859.0,270.0,608.0,2737.0,2593.0,525.0,1019.0,4137.0,605.0,88.0,254.0,946.0,253.0,72.0,170.0,495.0,750.0,115.0,110.0,975.0,32469.0,5845.0,10579.0,48894.0,15357.0,2994.0,3706.0,22057.0,11050.0,1786.0,2494.0,15330.0,6431.0,1657.0,2385.0,10473.0,2536.0,435.0,606.0,3577.0,3455.0,919.0,1000.0,5374.0,718.0,158.0,250.0,1127.0,335.0,143.0,181.0,659.0,1002.0,123.0,122.0,1246.0,40884.0,8215.0,10744.0,59842.0
36708.0,21148.0,3661.0,3478.0,28287.0,18332.0,2541.0,2399.0,23272.0,9321.0,2154.0,1982.0,13457.0,3296.0,621.0,543.0,4460.0,4832.0,1137.0,797.0,6766.0,790.0,167.0,217.0,1174.0,411.0,125.0,164.0,700.0,1072.0,168.0,93.0,1333.0,59202.0,10574.0,9673.0,79449.0,21026.0,3712.0,3674.0,28412.0,19430.0,2744.0,2486.0,24661.0,9645.0,2436.0,2306.0,14387.0,3373.0,709.0,577.0,4660.0,5356.0,1289.0,964.0,7609.0,857.0,179.0,230.0,1266.0,434.0,154.0,177.0,765.0,1058.0,189.0,99.0,1345.0,61179.0,11413.0,10513.0,83105.0,16939.0,3528.0,3644.0,24111.0,13214.0,2283.0,2498.0,17995.0,7959.0,1973.0,2351.0,12282.0,3204.0,451.0,598.0,4253.0,4509.0,960.0,993.0,6462.0,855.0,163.0,243.0,1261.0,356.0,144.0,175.0,675.0,1013.0,127.0,117.0,1257.0,48047.0,9630.0,10619.0,68295.0
36739.0,18796.0,4178.0,3650.0,26624.0,15991.0,2675.0,2586.0,21252.0,8590.0,2300.0,2292.0,13182.0,3429.0,538.0,595.0,4562.0,4634.0,1190.0,949.0,6773.0,926.0,193.0,243.0,1362.0,350.0,154.0,177.0,681.0,1074.0,189.0,146.0,1409.0,53790.0,11417.0,10638.0,75845.0,18547.0,4056.0,3616.0,26219.0,15320.0,2527.0,2548.0,20395.0,8044.0,2105.0,2362.0,12511.0,3338.0,499.0,627.0,4464.0,4406.0,1165.0,970.0,6540.0,862.0,177.0,239.0,1278.0,395.0,152.0,168.0,716.0,1033.0,170.0,133.0,1336.0,51945.0,10852.0,10662.0,73459.0,17122.0,3506.0,3554.0,24182.0,13317.0,2286.0,2491.0,18094.0,7925.0,1977.0,2303.0,12205.0,3249.0,467.0,591.0,4307.0,4469.0,997.0,986.0,6452.0,847.0,165.0,235.0,1247.0,372.0,146.0,167.0,685.0,1029.0,130.0,113.0,1273.0,48330.0,9675.0,10440.0,68444.0
36770.0,15721.0,2702.0,3085.0,21508.0,12715.0,1769.0,2271.0,16755.0,7215.0,1727.0,1987.0,10929.0,2987.0,375.0,527.0,3889.0,4426.0,895.0,852.0,6173.0,953.0,131.0,210.0,1294.0,298.0,147.0,136.0,581.0,860.0,128.0,95.0,1083.0,45175.0,7874.0,9163.0,62212.0,16935.0,3105.0,3278.0,23318.0,13132.0,2061.0,2416.0,17609.0,7859.0,1920.0,2186.0,11965.0,3196.0,428.0,575.0,4199.0,4477.0,1037.0,972.0,6487.0,853.0,159.0,230.0,1243.0,358.0,161.0,156.0,675.0,1001.0,130.0,97.0,1229.0,47812.0,9002.0,9910.0,66724.0,17233.0,3452.0,3467.0,24152.0,13416.0,2292.0,2484.0,18192.0,7908.0,1952.0,2247.0,12106.0,3271.0,478.0,587.0,4336.0,4417.0,1018.0,980.0,6415.0,843.0,164.0,228.0,1235.0,381.0,148.0,161.0,691.0,1043.0,131.0,111.0,1285.0,48512.0,9635.0,10265.0,68412.0
36800.0,17676.0,2845.0,3336.0,23857.0,14518.0,1986.0,2470.0,18974.0,7384.0,1633.0,2102.0,11119.0,3289.0,494.0,498.0,4281.0,4532.0,863.0,927.0,6322.0,830.0,155.0,194.0,1179.0,344.0,115.0,154.0,613.0,1064.0,113.0,120.0,1297.0,49637.0,8204.0,9801.0,67642.0,17422.0,3049.0,3503.0,23974.0,13852.0,2117.0,2529.0,18499.0,7740.0,1728.0,2227.0,11695.0,3246.0,513.0,571.0,4330.0,4416.0,925.0,965.0,6307.0,830.0,155.0,223.0,1208.0,373.0,110.0,155.0,638.0,1058.0,105.0,133.0,1296.0,48936.0,8702.0,10307.0,67946.0,17167.0,3380.0,3402.0,23950.0,13413.0,2296.0,2472.0,18180.0,7859.0,1905.0,2194.0,11958.0,3242.0,481.0,588.0,4311.0,4338.0,1014.0,970.0,6322.0,843.0,161.0,227.0,1232.0,378.0,149.0,158.0,685.0,1043.0,132.0,111.0,1286.0,48283.0,9519.0,10121.0,67923.0
36831.0,18853.0,3544.0,3449.0,25846.0,14636.0,2365.0,2504.0,19505.0,7991.0,1917.0,2303.0,12211.0,3409.0,485.0,579.0,4473.0,4407.0,1103.0,1000.0,6510.0,887.0,162.0,231.0,1280.0,343.0,143.0,163.0,649.0,1078.0,138.0,106.0,1322.0,51604.0,9857.0,10335.0,71796.0,17075.0,3215.0,3334.0,23624.0,13389.0,2216.0,2390.0,17994.0,7621.0,1785.0,2178.0,11585.0,3119.0,467.0,565.0,4151.0,4228.0,1004.0,976.0,6208.0,807.0,153.0,216.0,1176.0,358.0,141.0,145.0,643.0,1041.0,132.0,88.0,1262.0,47637.0,9113.0,9893.0,66643.0,16916.0,3333.0,3369.0,23618.0,13304.0,2304.0,2465.0,18072.0,7754.0,1871.0,2158.0,11782.0,3160.0,481.0,595.0,4235.0,4232.0,996.0,960.0,6188.0,846.0,159.0,231.0,1237.0,365.0,148.0,157.0,670.0,1024.0,133.0,114.0,1271.0,47600.0,9425.0,10048.0,67073.0
36861.0,19156.0,3706.0,3743.0,26605.0,16591.0,2658.0,2884.0,22133.0,8269.0,1961.0,2541.0,12771.0,3434.0,553.0,711.0,4698.0,4422.0,1021.0,1083.0,6526.0,1526.0,162.0,236.0,1924.0,311.0,179.0,173.0,663.0,1102.0,144.0,99.0,1345.0,54811.0,10384.0,11470.0,76665.0,19889.0,3979.0,3947.0,27815.0,16039.0,2681.0,3133.0,21853.0,8316.0,2026.0,2677.0,13020.0,3471.0,515.0,639.0,4624.0,4161.0,998.0,1029.0,6188.0,866.0,159.0,238.0,1263.0,384.0,190.0,179.0,753.0,1104.0,142.0,115.0,1361.0,54231.0,10690.0,11956.0,76876.0,16556.0,3337.0,3351.0,23244.0,13109.0,2317.0,2465.0,17891.0,7600.0,1863.0,2137.0,11600.0,3050.0,480.0,605.0,4136.0,4108.0,979.0,954.0,6041.0,849.0,160.0,235.0,1244.0,345.0,146.0,157.0,649.0,993.0,136.0,118.0,1247.0,46610.0,9419.0,10024.0,66052.0
